14_cell_neg_4	14_cell_neg_5
4_cell_neg_27	4_cell_neg_28
4_cell_neg_28	4_cell_neg_29
4_cell_neg_29	4_cell_neg_30
4_cell_neg_43	4_cell_neg_44
3_cell_pos_19	3_cell_pos_20
3_cell_pos_28	3_cell_pos_29
3_cell_pos_98	3_cell_pos_99
8_cell_pos_49	8_cell_pos_50
8_cell_pos_50	8_cell_pos_51
6_gourmet_pos_36	6_gourmet_pos_37
13_kitchen_neg_7	13_kitchen_neg_8
13_kitchen_neg_8	13_kitchen_neg_9
1_kitchen_neg_102	1_kitchen_neg_103
1_kitchen_neg_103	1_kitchen_neg_104
1_kitchen_neg_108	1_kitchen_neg_109
3_kitchen_pos_11	3_kitchen_pos_12
3_kitchen_pos_103	3_kitchen_pos_104
5_kitchen_pos_5	5_kitchen_pos_6
5_kitchen_pos_29	5_kitchen_pos_30
5_kitchen_pos_36	5_kitchen_pos_37
