7_cell_pos_5	7_cell_pos_6
7_cell_pos_6	7_cell_pos_7
7_cell_pos_20	7_cell_pos_21
7_cell_pos_39	7_cell_pos_40
7_cell_pos_62	7_cell_pos_63
7_cell_pos_89	7_cell_pos_90
7_cell_pos_101	7_cell_pos_102
19_kitchen_pos_23	19_kitchen_pos_24
19_kitchen_pos_37	19_kitchen_pos_38
19_kitchen_pos_66	19_kitchen_pos_67
5_kitchen_neg_20	5_kitchen_neg_21
5_kitchen_neg_21	5_kitchen_neg_22
5_kitchen_neg_26	5_kitchen_neg_27
5_kitchen_neg_58	5_kitchen_neg_59
16_cell_neg_1	16_cell_neg_2
16_cell_neg_23	16_cell_neg_24
16_cell_pos_38	16_cell_pos_39
16_cell_pos_43	16_cell_pos_44
16_cell_pos_72	16_cell_pos_73
16_cell_pos_78	16_cell_pos_79
7_kitchen_pos_13	7_kitchen_pos_14
7_kitchen_pos_21	7_kitchen_pos_22
7_kitchen_pos_51	7_kitchen_pos_52
15_kitchen_neg_20	15_kitchen_neg_21
1_gourmet_neg_13	1_gourmet_neg_14
1_gourmet_neg_15	1_gourmet_neg_16
1_gourmet_neg_18	1_gourmet_neg_19
1_gourmet_neg_19	1_gourmet_neg_20
1_gourmet_neg_89	1_gourmet_neg_90
1_gourmet_neg_93	1_gourmet_neg_94
