3_cell_neg_11	3_cell_neg_12
3_cell_neg_18	3_cell_neg_19
3_cell_neg_19	3_cell_neg_20
3_cell_neg_31	3_cell_neg_32
3_cell_neg_73	3_cell_neg_74
3_cell_neg_80	3_cell_neg_81
10_cell_pos_31	10_cell_pos_32
10_cell_pos_37	10_cell_pos_38
10_cell_pos_59	10_cell_pos_60
10_cell_pos_66	10_cell_pos_67
10_cell_pos_70	10_cell_pos_71
16_kitchen_pos_19	16_kitchen_pos_20
19_kitchen_neg_1	19_kitchen_neg_2
19_kitchen_neg_2	19_kitchen_neg_3
4_gourmet_pos_29	4_gourmet_pos_30
4_gourmet_pos_47	4_gourmet_pos_48
11_gourmet_neg_13	11_gourmet_neg_14
17_cell_neg_40	17_cell_neg_41
12_cell_pos_19	12_cell_pos_20
12_cell_pos_24	12_cell_pos_25
12_cell_pos_84	12_cell_pos_85
12_cell_pos_85	12_cell_pos_86
17_kitchen_pos_9	17_kitchen_pos_10
17_kitchen_pos_14	17_kitchen_pos_15
17_kitchen_pos_20	17_kitchen_pos_21
17_kitchen_pos_22	17_kitchen_pos_23
17_kitchen_pos_45	17_kitchen_pos_46
17_kitchen_pos_46	17_kitchen_pos_47
2_kitchen_neg_17	2_kitchen_neg_18
2_kitchen_neg_49	2_kitchen_neg_50
2_kitchen_neg_71	2_kitchen_neg_72
20_gourmet_pos_17	20_gourmet_pos_18
