PhraseIDs	Contrast
5_cell_neg_1	False
5_cell_neg_2	False
5_cell_neg_3	False
5_cell_neg_4	False
5_cell_neg_5	False
5_cell_neg_6	False
5_cell_neg_7	False
5_cell_neg_8	False
5_cell_neg_9	False
5_cell_neg_10	False
5_cell_neg_11	False
5_cell_neg_12	False
5_cell_neg_13	False
5_cell_neg_14	False
5_cell_neg_15	False
5_cell_neg_16	False
5_cell_neg_17	False
5_cell_neg_18	False
5_cell_neg_19	False
5_cell_neg_20	False
5_cell_neg_21	False
5_cell_neg_22	False
5_cell_neg_23	False
5_cell_neg_24	False
5_cell_neg_25	False
5_cell_neg_26	False
5_cell_neg_27	False
5_cell_neg_28	False
5_cell_neg_29	False
5_cell_neg_30	False
5_cell_neg_31	False
5_cell_neg_32	False
5_cell_neg_33	False
5_cell_neg_34	False
5_cell_neg_35	False
5_cell_neg_36	False
5_cell_neg_37	False
5_cell_neg_38	False
5_cell_neg_39	False
5_cell_neg_40	False
5_cell_neg_41	False
5_cell_neg_42	False
5_cell_neg_43	False
5_cell_neg_44	False
5_cell_neg_45	False
5_cell_neg_46	False
5_cell_neg_47	False
5_cell_neg_48	False
5_cell_neg_49	False
5_cell_neg_50	False
5_cell_neg_51	False
5_cell_neg_52	False
5_cell_neg_53	False
5_cell_neg_54	False
5_cell_neg_55	False
5_cell_neg_56	False
5_cell_neg_57	False
5_cell_neg_58	False
5_cell_neg_59	False
5_cell_neg_60	False
5_cell_neg_61	False
5_cell_neg_62	False
5_cell_neg_63	False
5_cell_neg_64	False
5_cell_neg_65	False
5_cell_neg_66	False
5_cell_neg_67	False
5_cell_neg_68	False
5_cell_neg_69	False
5_cell_neg_70	False
5_cell_neg_71	False
5_cell_neg_72	False
5_cell_neg_73	False
5_cell_neg_74	False
5_cell_neg_75	False
7_cell_pos_1	False
7_cell_pos_2	False
7_cell_pos_3	False
7_cell_pos_4	False
7_cell_pos_5	True
7_cell_pos_6	True
7_cell_pos_7	False
7_cell_pos_8	False
7_cell_pos_9	False
7_cell_pos_10	False
7_cell_pos_11	False
7_cell_pos_12	False
7_cell_pos_13	False
7_cell_pos_14	False
7_cell_pos_15	False
7_cell_pos_16	False
7_cell_pos_17	False
7_cell_pos_18	False
7_cell_pos_19	False
7_cell_pos_20	True
7_cell_pos_21	False
7_cell_pos_22	False
7_cell_pos_23	False
7_cell_pos_24	False
7_cell_pos_25	False
7_cell_pos_26	False
7_cell_pos_27	False
7_cell_pos_28	False
7_cell_pos_29	False
7_cell_pos_30	False
7_cell_pos_31	False
7_cell_pos_32	False
7_cell_pos_33	False
7_cell_pos_34	False
7_cell_pos_35	False
7_cell_pos_36	False
7_cell_pos_37	False
7_cell_pos_38	False
7_cell_pos_39	True
7_cell_pos_40	False
7_cell_pos_41	False
7_cell_pos_42	False
7_cell_pos_43	False
7_cell_pos_44	False
7_cell_pos_45	False
7_cell_pos_46	False
7_cell_pos_47	False
7_cell_pos_48	False
7_cell_pos_49	False
7_cell_pos_50	False
7_cell_pos_51	False
7_cell_pos_52	False
7_cell_pos_53	False
7_cell_pos_54	False
7_cell_pos_55	False
7_cell_pos_56	False
7_cell_pos_57	False
7_cell_pos_58	False
7_cell_pos_59	False
7_cell_pos_60	False
7_cell_pos_61	False
7_cell_pos_62	True
7_cell_pos_63	False
7_cell_pos_64	False
7_cell_pos_65	False
7_cell_pos_66	False
7_cell_pos_67	False
7_cell_pos_68	False
7_cell_pos_69	False
7_cell_pos_70	False
7_cell_pos_71	False
7_cell_pos_72	False
7_cell_pos_73	False
7_cell_pos_74	False
7_cell_pos_75	False
7_cell_pos_76	False
7_cell_pos_77	False
7_cell_pos_78	False
7_cell_pos_79	False
7_cell_pos_80	False
7_cell_pos_81	False
7_cell_pos_82	False
7_cell_pos_83	False
7_cell_pos_84	False
7_cell_pos_85	False
7_cell_pos_86	False
7_cell_pos_87	False
7_cell_pos_88	False
7_cell_pos_89	True
7_cell_pos_90	False
7_cell_pos_91	False
7_cell_pos_92	False
7_cell_pos_93	False
7_cell_pos_94	False
7_cell_pos_95	False
7_cell_pos_96	False
7_cell_pos_97	False
7_cell_pos_98	False
7_cell_pos_99	False
7_cell_pos_100	False
7_cell_pos_101	True
7_cell_pos_102	False
19_kitchen_pos_1	False
19_kitchen_pos_2	False
19_kitchen_pos_3	False
19_kitchen_pos_4	False
19_kitchen_pos_5	False
19_kitchen_pos_6	False
19_kitchen_pos_7	False
19_kitchen_pos_8	False
19_kitchen_pos_9	False
19_kitchen_pos_10	False
19_kitchen_pos_11	False
19_kitchen_pos_12	False
19_kitchen_pos_13	False
19_kitchen_pos_14	False
19_kitchen_pos_15	False
19_kitchen_pos_16	False
19_kitchen_pos_17	False
19_kitchen_pos_18	False
19_kitchen_pos_19	False
19_kitchen_pos_20	False
19_kitchen_pos_21	False
19_kitchen_pos_22	False
19_kitchen_pos_23	True
19_kitchen_pos_24	False
19_kitchen_pos_25	False
19_kitchen_pos_26	False
19_kitchen_pos_27	False
19_kitchen_pos_28	False
19_kitchen_pos_29	False
19_kitchen_pos_30	False
19_kitchen_pos_31	False
19_kitchen_pos_32	False
19_kitchen_pos_33	False
19_kitchen_pos_34	False
19_kitchen_pos_35	False
19_kitchen_pos_36	False
19_kitchen_pos_37	True
19_kitchen_pos_38	False
19_kitchen_pos_39	False
19_kitchen_pos_40	False
19_kitchen_pos_41	False
19_kitchen_pos_42	False
19_kitchen_pos_43	False
19_kitchen_pos_44	False
19_kitchen_pos_45	False
19_kitchen_pos_46	False
19_kitchen_pos_47	False
19_kitchen_pos_48	False
19_kitchen_pos_49	False
19_kitchen_pos_50	False
19_kitchen_pos_51	False
19_kitchen_pos_52	False
19_kitchen_pos_53	False
19_kitchen_pos_54	False
19_kitchen_pos_55	False
19_kitchen_pos_56	False
19_kitchen_pos_57	False
19_kitchen_pos_58	False
19_kitchen_pos_59	False
19_kitchen_pos_60	False
19_kitchen_pos_61	False
19_kitchen_pos_62	False
19_kitchen_pos_63	False
19_kitchen_pos_64	False
19_kitchen_pos_65	False
19_kitchen_pos_66	True
19_kitchen_pos_67	False
5_kitchen_neg_1	False
5_kitchen_neg_2	False
5_kitchen_neg_3	False
5_kitchen_neg_4	False
5_kitchen_neg_5	False
5_kitchen_neg_6	False
5_kitchen_neg_7	False
5_kitchen_neg_8	False
5_kitchen_neg_9	False
5_kitchen_neg_10	False
5_kitchen_neg_11	False
5_kitchen_neg_12	False
5_kitchen_neg_13	False
5_kitchen_neg_14	False
5_kitchen_neg_15	False
5_kitchen_neg_16	False
5_kitchen_neg_17	False
5_kitchen_neg_18	False
5_kitchen_neg_19	False
5_kitchen_neg_20	True
5_kitchen_neg_21	True
5_kitchen_neg_22	False
5_kitchen_neg_23	False
5_kitchen_neg_24	False
5_kitchen_neg_25	False
5_kitchen_neg_26	True
5_kitchen_neg_27	False
5_kitchen_neg_28	False
5_kitchen_neg_29	False
5_kitchen_neg_30	False
5_kitchen_neg_31	False
5_kitchen_neg_32	False
5_kitchen_neg_33	False
5_kitchen_neg_34	False
5_kitchen_neg_35	False
5_kitchen_neg_36	False
5_kitchen_neg_37	False
5_kitchen_neg_38	False
5_kitchen_neg_39	False
5_kitchen_neg_40	False
5_kitchen_neg_41	False
5_kitchen_neg_42	False
5_kitchen_neg_43	False
5_kitchen_neg_44	False
5_kitchen_neg_45	False
5_kitchen_neg_46	False
5_kitchen_neg_47	False
5_kitchen_neg_48	False
5_kitchen_neg_49	False
5_kitchen_neg_50	False
5_kitchen_neg_51	False
5_kitchen_neg_52	False
5_kitchen_neg_53	False
5_kitchen_neg_54	False
5_kitchen_neg_55	False
5_kitchen_neg_56	False
5_kitchen_neg_57	False
5_kitchen_neg_58	True
5_kitchen_neg_59	False
5_kitchen_neg_60	False
5_kitchen_neg_61	False
5_kitchen_neg_62	False
5_kitchen_neg_63	False
5_kitchen_neg_64	False
5_kitchen_neg_65	False
5_kitchen_neg_66	False
5_kitchen_neg_67	False
5_kitchen_neg_68	False
5_kitchen_neg_69	False
5_gourmet_pos_1	False
5_gourmet_pos_2	False
5_gourmet_pos_3	False
5_gourmet_pos_4	False
5_gourmet_pos_5	False
5_gourmet_pos_6	False
5_gourmet_pos_7	False
5_gourmet_pos_8	False
5_gourmet_pos_9	False
5_gourmet_pos_10	False
5_gourmet_pos_11	False
5_gourmet_pos_12	False
5_gourmet_pos_13	False
5_gourmet_pos_14	False
5_gourmet_pos_15	False
5_gourmet_pos_16	False
5_gourmet_pos_17	False
5_gourmet_pos_18	False
5_gourmet_pos_19	False
5_gourmet_pos_20	False
5_gourmet_pos_21	False
5_gourmet_pos_22	False
5_gourmet_pos_23	False
5_gourmet_pos_24	False
5_gourmet_pos_25	False
5_gourmet_pos_26	False
5_gourmet_pos_27	False
5_gourmet_pos_28	False
5_gourmet_pos_29	False
5_gourmet_pos_30	False
5_gourmet_pos_31	False
5_gourmet_pos_32	False
5_gourmet_pos_33	False
5_gourmet_pos_34	False
5_gourmet_pos_35	False
5_gourmet_pos_36	False
5_gourmet_pos_37	False
5_gourmet_pos_38	False
5_gourmet_pos_39	False
5_gourmet_pos_40	False
5_gourmet_pos_41	False
5_gourmet_pos_42	False
5_gourmet_pos_43	False
5_gourmet_pos_44	False
5_gourmet_pos_45	False
5_gourmet_pos_46	False
5_gourmet_pos_47	False
5_gourmet_pos_48	False
5_gourmet_pos_49	False
5_gourmet_pos_50	False
5_gourmet_pos_51	False
5_gourmet_pos_52	False
5_gourmet_pos_53	False
5_gourmet_pos_54	False
5_gourmet_pos_55	False
5_gourmet_pos_56	False
5_gourmet_pos_57	False
5_gourmet_pos_58	False
5_gourmet_pos_59	False
5_gourmet_pos_60	False
5_gourmet_pos_61	False
17_gourmet_neg_1	False
17_gourmet_neg_2	False
17_gourmet_neg_3	False
17_gourmet_neg_4	False
17_gourmet_neg_5	False
17_gourmet_neg_6	False
17_gourmet_neg_7	False
17_gourmet_neg_8	False
17_gourmet_neg_9	False
17_gourmet_neg_10	False
17_gourmet_neg_11	False
17_gourmet_neg_12	False
17_gourmet_neg_13	False
16_cell_neg_1	True
16_cell_neg_2	False
16_cell_neg_3	False
16_cell_neg_4	False
16_cell_neg_5	False
16_cell_neg_6	False
16_cell_neg_7	False
16_cell_neg_8	False
16_cell_neg_9	False
16_cell_neg_10	False
16_cell_neg_11	False
16_cell_neg_12	False
16_cell_neg_13	False
16_cell_neg_14	False
16_cell_neg_15	False
16_cell_neg_16	False
16_cell_neg_17	False
16_cell_neg_18	False
16_cell_neg_19	False
16_cell_neg_20	False
16_cell_neg_21	False
16_cell_neg_22	False
16_cell_neg_23	True
16_cell_neg_24	False
16_cell_neg_25	False
16_cell_neg_26	False
16_cell_neg_27	False
16_cell_neg_28	False
16_cell_neg_29	False
16_cell_neg_30	False
16_cell_neg_31	False
16_cell_neg_32	False
16_cell_neg_33	False
16_cell_neg_34	False
16_cell_neg_35	False
16_cell_neg_36	False
16_cell_neg_37	False
16_cell_neg_38	False
16_cell_neg_39	False
16_cell_neg_40	False
16_cell_neg_41	False
16_cell_pos_1	False
16_cell_pos_2	False
16_cell_pos_3	False
16_cell_pos_4	False
16_cell_pos_5	False
16_cell_pos_6	False
16_cell_pos_7	False
16_cell_pos_8	False
16_cell_pos_9	False
16_cell_pos_10	False
16_cell_pos_11	False
16_cell_pos_12	False
16_cell_pos_13	False
16_cell_pos_14	False
16_cell_pos_15	False
16_cell_pos_16	False
16_cell_pos_17	False
16_cell_pos_18	False
16_cell_pos_19	False
16_cell_pos_20	False
16_cell_pos_21	False
16_cell_pos_22	False
16_cell_pos_23	False
16_cell_pos_24	False
16_cell_pos_25	False
16_cell_pos_26	False
16_cell_pos_27	False
16_cell_pos_28	False
16_cell_pos_29	False
16_cell_pos_30	False
16_cell_pos_31	False
16_cell_pos_32	False
16_cell_pos_33	False
16_cell_pos_34	False
16_cell_pos_35	False
16_cell_pos_36	False
16_cell_pos_37	False
16_cell_pos_38	True
16_cell_pos_39	False
16_cell_pos_40	False
16_cell_pos_41	False
16_cell_pos_42	False
16_cell_pos_43	True
