19_cell_neg_6	19_cell_neg_7
19_cell_neg_14	19_cell_neg_15
19_cell_neg_15	19_cell_neg_16
19_cell_neg_28	19_cell_neg_29
19_cell_neg_29	19_cell_neg_30
19_cell_neg_30	19_cell_neg_31
19_cell_neg_31	19_cell_neg_32
19_cell_neg_32	19_cell_neg_33
19_cell_neg_33	19_cell_neg_34
19_cell_neg_34	19_cell_neg_35
19_cell_neg_35	19_cell_neg_36
8_cell_neg_3	8_cell_neg_4
8_cell_neg_4	8_cell_neg_5
8_cell_neg_5	8_cell_neg_6
8_cell_neg_6	8_cell_neg_7
8_cell_neg_7	8_cell_neg_8
8_cell_neg_36	8_cell_neg_37
8_cell_neg_37	8_cell_neg_38
8_cell_neg_38	8_cell_neg_39
8_cell_neg_39	8_cell_neg_40
8_cell_neg_40	8_cell_neg_41
8_cell_neg_41	8_cell_neg_42
8_cell_neg_42	8_cell_neg_43
8_cell_neg_43	8_cell_neg_44
8_cell_neg_44	8_cell_neg_45
8_cell_neg_45	8_cell_neg_46
8_cell_neg_46	8_cell_neg_47
8_cell_neg_47	8_cell_neg_48
8_cell_neg_48	8_cell_neg_49
8_cell_neg_49	8_cell_neg_50
8_cell_neg_50	8_cell_neg_51
8_cell_neg_51	8_cell_neg_52
8_cell_neg_52	8_cell_neg_53
8_cell_neg_53	8_cell_neg_54
20_cell_pos_25	20_cell_pos_26
20_cell_pos_49	20_cell_pos_50
9_cell_pos_11	9_cell_pos_12
9_cell_pos_24	9_cell_pos_25
9_cell_pos_25	9_cell_pos_26
9_cell_pos_46	9_cell_pos_47
9_cell_pos_57	9_cell_pos_58
9_cell_pos_72	9_cell_pos_73
9_cell_pos_77	9_cell_pos_78
4_gourmet_neg_1	4_gourmet_neg_2
4_gourmet_neg_4	4_gourmet_neg_5
4_gourmet_neg_12	4_gourmet_neg_13
4_gourmet_neg_13	4_gourmet_neg_14
4_gourmet_neg_14	4_gourmet_neg_15
4_gourmet_neg_23	4_gourmet_neg_24
4_gourmet_neg_27	4_gourmet_neg_28
11_gourmet_pos_1	11_gourmet_pos_2
11_gourmet_pos_2	11_gourmet_pos_3
11_gourmet_pos_3	11_gourmet_pos_4
11_gourmet_pos_4	11_gourmet_pos_5
11_gourmet_pos_5	11_gourmet_pos_6
11_gourmet_pos_8	11_gourmet_pos_9
11_gourmet_pos_9	11_gourmet_pos_10
11_gourmet_pos_10	11_gourmet_pos_11
11_gourmet_pos_11	11_gourmet_pos_12
11_gourmet_pos_12	11_gourmet_pos_13
11_gourmet_pos_13	11_gourmet_pos_14
11_gourmet_pos_14	11_gourmet_pos_15
11_gourmet_pos_15	11_gourmet_pos_16
11_gourmet_pos_16	11_gourmet_pos_17
11_gourmet_pos_17	11_gourmet_pos_18
11_gourmet_pos_18	11_gourmet_pos_19
11_gourmet_pos_19	11_gourmet_pos_20
11_gourmet_pos_20	11_gourmet_pos_21
11_gourmet_pos_21	11_gourmet_pos_22
11_gourmet_pos_22	11_gourmet_pos_23
11_gourmet_pos_23	11_gourmet_pos_24
11_gourmet_pos_24	11_gourmet_pos_25
11_gourmet_pos_25	11_gourmet_pos_26
11_gourmet_pos_26	11_gourmet_pos_27
11_gourmet_pos_27	11_gourmet_pos_28
11_gourmet_pos_28	11_gourmet_pos_29
11_gourmet_pos_29	11_gourmet_pos_30
11_gourmet_pos_30	11_gourmet_pos_31
11_gourmet_pos_31	11_gourmet_pos_32
11_gourmet_pos_32	11_gourmet_pos_33
11_gourmet_pos_33	11_gourmet_pos_34
11_gourmet_pos_34	11_gourmet_pos_35
11_gourmet_pos_35	11_gourmet_pos_36
11_gourmet_pos_36	11_gourmet_pos_37
11_gourmet_pos_37	11_gourmet_pos_38
11_gourmet_pos_38	11_gourmet_pos_39
11_gourmet_pos_39	11_gourmet_pos_40
11_gourmet_pos_40	11_gourmet_pos_41
11_gourmet_pos_41	11_gourmet_pos_42
11_gourmet_pos_42	11_gourmet_pos_43
11_gourmet_pos_43	11_gourmet_pos_44
19_gourmet_pos_11	19_gourmet_pos_12
19_gourmet_pos_12	19_gourmet_pos_13
8_kitchen_neg_28	8_kitchen_neg_29
9_kitchen_neg_28	9_kitchen_neg_29
4_kitchen_pos_46	4_kitchen_pos_47
4_kitchen_pos_47	4_kitchen_pos_48
4_kitchen_pos_48	4_kitchen_pos_49
4_kitchen_pos_49	4_kitchen_pos_50
4_kitchen_pos_50	4_kitchen_pos_51
4_kitchen_pos_51	4_kitchen_pos_52
4_kitchen_pos_52	4_kitchen_pos_53
4_kitchen_pos_53	4_kitchen_pos_54
4_kitchen_pos_54	4_kitchen_pos_55
4_kitchen_pos_70	4_kitchen_pos_71
4_kitchen_pos_71	4_kitchen_pos_72
4_kitchen_pos_72	4_kitchen_pos_73
4_kitchen_pos_73	4_kitchen_pos_74
4_kitchen_pos_74	4_kitchen_pos_75
4_kitchen_pos_75	4_kitchen_pos_76
4_kitchen_pos_76	4_kitchen_pos_77
4_kitchen_pos_77	4_kitchen_pos_78
4_kitchen_pos_78	4_kitchen_pos_79
4_kitchen_pos_79	4_kitchen_pos_80
9_kitchen_pos_2	9_kitchen_pos_3
9_kitchen_pos_3	9_kitchen_pos_4
9_kitchen_pos_11	9_kitchen_pos_12
9_kitchen_pos_14	9_kitchen_pos_15
9_kitchen_pos_20	9_kitchen_pos_21
9_kitchen_pos_21	9_kitchen_pos_22
9_kitchen_pos_22	9_kitchen_pos_23
9_kitchen_pos_23	9_kitchen_pos_24
9_kitchen_pos_24	9_kitchen_pos_25
9_kitchen_pos_25	9_kitchen_pos_26
9_kitchen_pos_26	9_kitchen_pos_27
9_kitchen_pos_27	9_kitchen_pos_28
9_kitchen_pos_28	9_kitchen_pos_29
9_kitchen_pos_29	9_kitchen_pos_30
9_kitchen_pos_30	9_kitchen_pos_31
9_kitchen_pos_31	9_kitchen_pos_32
9_kitchen_pos_32	9_kitchen_pos_33
9_kitchen_pos_33	9_kitchen_pos_34
9_kitchen_pos_34	9_kitchen_pos_35
9_kitchen_pos_35	9_kitchen_pos_36
9_kitchen_pos_36	9_kitchen_pos_37
9_kitchen_pos_37	9_kitchen_pos_38
9_kitchen_pos_38	9_kitchen_pos_39
