PhraseIDs	Contrast
8_cell_neg_1	False
8_cell_neg_2	False
8_cell_neg_3	False
8_cell_neg_4	False
8_cell_neg_5	False
8_cell_neg_6	False
8_cell_neg_7	False
8_cell_neg_8	False
8_cell_neg_9	False
8_cell_neg_10	False
8_cell_neg_11	False
8_cell_neg_12	False
8_cell_neg_13	False
8_cell_neg_14	False
8_cell_neg_15	False
8_cell_neg_16	False
8_cell_neg_17	False
8_cell_neg_18	False
8_cell_neg_19	False
8_cell_neg_20	False
8_cell_neg_21	False
8_cell_neg_22	False
8_cell_neg_23	False
8_cell_neg_24	False
8_cell_neg_25	False
8_cell_neg_26	False
8_cell_neg_27	False
8_cell_neg_28	False
8_cell_neg_29	False
8_cell_neg_30	False
8_cell_neg_31	False
8_cell_neg_32	False
8_cell_neg_33	False
8_cell_neg_34	False
8_cell_neg_35	False
8_cell_neg_36	False
8_cell_neg_37	False
8_cell_neg_38	False
8_cell_neg_39	False
8_cell_neg_40	False
8_cell_neg_41	False
8_cell_neg_42	False
8_cell_neg_43	False
8_cell_neg_44	False
8_cell_neg_45	False
8_cell_neg_46	False
8_cell_neg_47	False
8_cell_neg_48	False
8_cell_neg_49	False
8_cell_neg_50	True
8_cell_neg_51	False
8_cell_neg_52	False
8_cell_neg_53	False
8_cell_neg_54	False
9_cell_pos_1	False
9_cell_pos_2	False
9_cell_pos_3	False
9_cell_pos_4	False
9_cell_pos_5	False
9_cell_pos_6	False
9_cell_pos_7	False
9_cell_pos_8	False
9_cell_pos_9	False
9_cell_pos_10	False
9_cell_pos_11	False
9_cell_pos_12	False
9_cell_pos_13	False
9_cell_pos_14	False
9_cell_pos_15	False
9_cell_pos_16	False
9_cell_pos_17	False
9_cell_pos_18	False
9_cell_pos_19	False
9_cell_pos_20	False
9_cell_pos_21	False
9_cell_pos_22	False
9_cell_pos_23	False
9_cell_pos_24	False
9_cell_pos_25	False
9_cell_pos_26	False
9_cell_pos_27	False
9_cell_pos_28	False
9_cell_pos_29	False
9_cell_pos_30	False
9_cell_pos_31	False
9_cell_pos_32	False
9_cell_pos_33	False
9_cell_pos_34	False
9_cell_pos_35	False
9_cell_pos_36	False
9_cell_pos_37	False
9_cell_pos_38	False
9_cell_pos_39	False
9_cell_pos_40	False
9_cell_pos_41	False
9_cell_pos_42	False
9_cell_pos_43	False
9_cell_pos_44	True
9_cell_pos_45	False
9_cell_pos_46	False
9_cell_pos_47	False
9_cell_pos_48	False
9_cell_pos_49	False
9_cell_pos_50	False
9_cell_pos_51	False
9_cell_pos_52	False
9_cell_pos_53	False
9_cell_pos_54	False
9_cell_pos_55	False
9_cell_pos_56	False
9_cell_pos_57	False
9_cell_pos_58	False
9_cell_pos_59	False
9_cell_pos_60	False
9_cell_pos_61	False
9_cell_pos_62	False
9_cell_pos_63	False
9_cell_pos_64	False
9_cell_pos_65	False
9_cell_pos_66	False
9_cell_pos_67	False
9_cell_pos_68	False
9_cell_pos_69	False
9_cell_pos_70	False
9_cell_pos_71	False
9_cell_pos_72	False
9_cell_pos_73	False
9_cell_pos_74	False
9_cell_pos_75	False
9_cell_pos_76	False
9_cell_pos_77	False
9_cell_pos_78	False
9_cell_pos_79	False
9_cell_pos_80	False
9_cell_pos_81	False
9_cell_pos_82	False
9_cell_pos_83	False
9_cell_pos_84	False
9_cell_pos_85	False
9_cell_pos_86	False
9_cell_pos_87	False
9_cell_pos_88	False
9_cell_pos_89	False
9_cell_pos_90	False
9_cell_pos_91	False
9_cell_pos_92	True
9_cell_pos_93	False
4_kitchen_pos_1	False
4_kitchen_pos_2	False
4_kitchen_pos_3	False
4_kitchen_pos_4	False
4_kitchen_pos_5	False
4_kitchen_pos_6	False
4_kitchen_pos_7	False
4_kitchen_pos_8	False
4_kitchen_pos_9	False
4_kitchen_pos_10	False
4_kitchen_pos_11	False
4_kitchen_pos_12	False
4_kitchen_pos_13	False
4_kitchen_pos_14	False
4_kitchen_pos_15	False
4_kitchen_pos_16	False
4_kitchen_pos_17	False
4_kitchen_pos_18	False
4_kitchen_pos_19	False
4_kitchen_pos_20	False
4_kitchen_pos_21	False
4_kitchen_pos_22	False
4_kitchen_pos_23	False
4_kitchen_pos_24	False
4_kitchen_pos_25	False
4_kitchen_pos_26	False
4_kitchen_pos_27	False
4_kitchen_pos_28	False
4_kitchen_pos_29	False
4_kitchen_pos_30	False
4_kitchen_pos_31	False
4_kitchen_pos_32	False
4_kitchen_pos_33	False
