PhraseID	Polarity
1_cell_neg_1	-1
1_cell_neg_2	0
1_cell_neg_3	1
1_cell_neg_4	1
1_cell_neg_5	0
1_cell_neg_6	1
1_cell_neg_7	0
1_cell_neg_8	0
1_cell_neg_9	-1
1_cell_neg_10	-1
1_cell_neg_11	0
1_cell_neg_12	1
1_cell_neg_13	1
1_cell_neg_14	0
1_cell_neg_15	0
1_cell_neg_16	1
1_cell_neg_17	1
1_cell_neg_18	1
1_cell_neg_19	-1
1_cell_neg_20	1
1_cell_neg_21	-1
1_cell_neg_22	1
1_cell_neg_23	1
1_cell_neg_24	0
1_cell_neg_25	-1
1_cell_neg_26	1
1_cell_neg_27	1
1_cell_neg_28	0
1_cell_neg_29	0
1_cell_neg_30	0
1_cell_neg_31	1
1_cell_neg_32	0
1_cell_neg_33	-1
1_cell_neg_34	1
1_cell_neg_35	1
1_cell_neg_36	1
1_cell_neg_37	0
1_cell_neg_38	0
1_cell_neg_39	1
1_cell_neg_40	-1
1_cell_neg_41	0
1_cell_neg_42	1
1_cell_neg_43	0
1_cell_neg_44	1
1_cell_neg_45	0
1_cell_neg_46	-1
1_cell_neg_47	-1
1_cell_neg_48	1
1_cell_neg_49	-1
1_cell_neg_50	1
1_cell_neg_51	-1
1_cell_neg_52	0
1_cell_neg_53	1
1_cell_neg_54	1
1_cell_neg_55	0
1_cell_neg_56	0
1_cell_neg_57	-1
1_cell_neg_58	-1
1_cell_neg_59	0
1_cell_neg_60	-1
1_cell_neg_61	1
1_cell_neg_62	0
1_cell_neg_63	0
1_cell_neg_64	-1
1_cell_neg_65	0
1_cell_neg_66	1
1_cell_neg_67	-1
1_cell_neg_68	1
1_cell_neg_69	0
1_cell_neg_70	-1
1_cell_neg_71	1
1_cell_neg_72	0
1_cell_neg_73	-1
1_cell_neg_74	0
1_cell_neg_75	1
1_cell_neg_76	1
1_cell_neg_77	0
1_cell_neg_78	1
1_cell_neg_79	0
1_cell_neg_80	1
1_cell_neg_81	1
1_cell_neg_82	1
1_cell_neg_83	-1
1_cell_neg_84	0
1_cell_neg_85	0
1_cell_neg_86	1
1_cell_neg_87	1
1_cell_neg_88	-1
1_cell_neg_89	-1
1_cell_neg_90	1
1_cell_neg_91	1
1_cell_neg_92	1
1_cell_neg_93	1
1_cell_neg_94	1
1_cell_neg_95	1
1_cell_neg_96	0
1_cell_neg_97	1
1_cell_neg_98	1
1_cell_neg_99	0
1_cell_neg_100	-1
1_cell_neg_101	1
1_cell_neg_102	1
1_cell_neg_103	1
1_cell_neg_104	1
1_cell_neg_105	1
1_cell_neg_106	1
1_cell_neg_107	1
1_cell_neg_108	1
1_cell_neg_109	1
1_cell_neg_110	1
1_cell_neg_111	-1
1_cell_neg_112	0
1_cell_neg_113	1
1_cell_neg_114	1
1_cell_neg_115	1
1_cell_neg_116	-1
1_cell_neg_117	1
1_cell_neg_118	1
1_cell_neg_119	1
1_cell_neg_120	-1
1_cell_neg_121	-1
1_cell_neg_122	1
1_cell_neg_123	1
1_cell_neg_124	-1
1_cell_neg_125	-1
1_cell_neg_126	1
1_cell_neg_127	1
1_cell_neg_128	1
1_cell_neg_129	1
1_cell_neg_130	0
1_cell_neg_131	1
1_cell_neg_132	0
1_cell_neg_133	1
1_cell_neg_134	1
1_cell_neg_135	0
1_cell_neg_136	0
1_cell_neg_137	-1
1_cell_neg_138	0
1_cell_neg_139	1
1_cell_neg_140	1
1_cell_neg_141	1
1_cell_neg_142	1
1_cell_neg_143	0
1_cell_neg_144	0
1_cell_neg_145	1
1_cell_neg_146	0
1_cell_neg_147	0
1_cell_neg_148	1
1_cell_neg_149	1
1_cell_neg_150	-1
1_cell_neg_151	-1
1_cell_neg_152	-1
1_cell_neg_153	1
1_cell_neg_154	-1
1_cell_neg_155	0
1_cell_neg_156	1
