PhraseIDs	Polarity
20_cell_neg_1	positive
20_cell_neg_2	positive
20_cell_neg_3	negative
20_cell_neg_4	negative
20_cell_neg_5	negative
20_cell_neg_6	negative
20_cell_neg_7	negative
20_cell_neg_8	negative
20_cell_neg_9	negative
20_cell_neg_10	negative
20_cell_neg_11	negative
20_cell_neg_12	negative
20_cell_neg_13	negative
20_cell_neg_14	negative
20_cell_neg_15	negative
20_cell_neg_16	negative
20_cell_neg_17	negative
20_cell_neg_18	negative
20_cell_neg_19	negative
20_cell_neg_20	negative
20_cell_neg_21	negative
20_cell_neg_22	negative
20_cell_neg_23	negative
20_cell_neg_24	negative
20_cell_neg_25	negative
20_cell_neg_26	negative
20_cell_neg_27	negative
20_cell_neg_28	negative
20_cell_neg_29	negative
20_cell_neg_30	negative
20_cell_neg_31	negative
20_cell_neg_32	negative
20_cell_neg_33	negative
20_cell_neg_34	negative
20_cell_neg_35	negative
5_cell_pos_1	negative
5_cell_pos_2	negative
5_cell_pos_3	negative
5_cell_pos_4	positive
5_cell_pos_5	positive
5_cell_pos_6	positive
5_cell_pos_7	positive
5_cell_pos_8	positive
5_cell_pos_9	positive
5_cell_pos_10	positive
5_cell_pos_11	negative
5_cell_pos_12	positive
5_cell_pos_13	positive
5_cell_pos_14	positive
5_cell_pos_15	positive
5_cell_pos_16	positive
5_cell_pos_17	positive
5_cell_pos_18	positive
5_cell_pos_19	positive
5_cell_pos_20	positive
5_cell_pos_21	positive
5_cell_pos_22	positive
5_cell_pos_23	positive
5_cell_pos_24	negative
5_cell_pos_25	positive
5_cell_pos_26	positive
5_cell_pos_27	positive
5_cell_pos_28	positive
5_cell_pos_29	positive
5_cell_pos_30	positive
5_cell_pos_31	positive
5_cell_pos_32	positive
5_cell_pos_33	negative
5_cell_pos_34	positive
5_cell_pos_35	positive
5_cell_pos_36	positive
5_cell_pos_37	positive
5_cell_pos_38	positive
5_cell_pos_39	positive
5_cell_pos_40	positive
5_cell_pos_41	positive
5_cell_pos_42	positive
5_cell_pos_43	positive
5_cell_pos_44	positive
5_cell_pos_45	positive
5_cell_pos_46	negative
5_cell_pos_47	positive
5_cell_pos_48	positive
5_cell_pos_49	positive
5_cell_pos_50	positive
5_cell_pos_51	positive
5_cell_pos_52	positive
5_cell_pos_53	negative
5_cell_pos_54	positive
5_cell_pos_55	positive
5_cell_pos_56	positive
5_cell_pos_57	positive
5_cell_pos_58	positive
5_cell_pos_59	positive
5_cell_pos_60	positive
5_cell_pos_61	positive
5_cell_pos_62	positive
5_cell_pos_63	positive
5_cell_pos_64	positive
5_cell_pos_65	positive
5_cell_pos_66	positive
5_cell_pos_67	positive
5_cell_pos_68	positive
5_cell_pos_69	positive
5_cell_pos_70	positive
5_cell_pos_71	positive
5_cell_pos_72	positive
5_cell_pos_73	positive
5_cell_pos_74	positive
5_cell_pos_75	positive
5_cell_pos_76	positive
5_cell_pos_77	positive
5_cell_pos_78	positive
5_cell_pos_79	positive
5_cell_pos_80	positive
5_cell_pos_81	negative
5_cell_pos_82	positive
5_cell_pos_83	positive
5_cell_pos_84	positive
5_cell_pos_85	positive
5_cell_pos_86	positive
5_cell_pos_87	positive
5_cell_pos_88	positive
5_cell_pos_89	positive
5_cell_pos_90	positive
5_cell_pos_91	positive
5_cell_pos_92	positive
5_cell_pos_93	positive
5_cell_pos_94	positive
5_cell_pos_95	positive
5_cell_pos_96	positive
5_cell_pos_97	positive
5_cell_pos_98	positive
5_cell_pos_99	positive
5_cell_pos_100	positive
5_cell_pos_101	positive
5_cell_pos_102	positive
5_cell_pos_103	positive
5_cell_pos_104	negative
5_cell_pos_105	negative
5_cell_pos_106	negative
5_cell_pos_107	positive
5_cell_pos_108	negative
5_cell_pos_109	negative
5_cell_pos_110	negative
5_cell_pos_111	negative
5_cell_pos_112	negative
5_cell_pos_113	negative
5_cell_pos_114	negative
5_cell_pos_115	negative
5_cell_pos_116	positive
5_cell_pos_117	negative
5_cell_pos_118	negative
5_cell_pos_119	negative
5_cell_pos_120	negative
5_cell_pos_121	negative
5_cell_pos_122	positive
5_cell_pos_123	positive
5_cell_pos_124	positive
5_cell_pos_125	negative
5_cell_pos_126	negative
5_cell_pos_127	negative
5_cell_pos_128	positive
5_cell_pos_129	negative
5_cell_pos_130	positive
5_cell_pos_131	positive
5_cell_pos_132	positive
5_cell_pos_133	positive
5_cell_pos_134	positive
5_cell_pos_135	positive
5_cell_pos_136	positive
5_cell_pos_137	positive
5_cell_pos_138	positive
5_cell_pos_139	positive
5_cell_pos_140	positive
11_kitchen_pos_1	positive
11_kitchen_pos_2	positive
11_kitchen_pos_3	positive
11_kitchen_pos_4	positive
11_kitchen_pos_5	positive
11_kitchen_pos_6	positive
11_kitchen_pos_7	positive
11_kitchen_pos_8	negative
11_kitchen_pos_9	positive
11_kitchen_pos_10	positive
11_kitchen_pos_11	positive
11_kitchen_pos_12	positive
11_kitchen_pos_13	positive
11_kitchen_pos_14	positive
11_kitchen_pos_15	positive
11_kitchen_pos_16	positive
11_kitchen_pos_17	negative
11_kitchen_pos_18	positive
11_kitchen_pos_19	positive
11_kitchen_pos_20	positive
11_kitchen_pos_21	positive
11_kitchen_pos_22	positive
11_kitchen_pos_23	positive
11_kitchen_pos_24	positive
11_kitchen_pos_25	positive
11_kitchen_pos_26	positive
11_kitchen_pos_27	positive
11_kitchen_pos_28	positive
11_kitchen_pos_29	positive
11_kitchen_pos_30	positive
11_kitchen_pos_31	positive
11_kitchen_pos_32	positive
11_kitchen_pos_33	negative
11_kitchen_pos_34	negative
11_kitchen_pos_35	negative
11_kitchen_pos_36	negative
11_kitchen_pos_37	negative
11_kitchen_pos_38	positive
11_kitchen_pos_39	positive
11_kitchen_pos_40	positive
11_kitchen_pos_41	negative
11_kitchen_pos_42	positive
11_kitchen_pos_43	positive
11_kitchen_pos_44	positive
11_kitchen_pos_45	positive
11_kitchen_pos_46	positive
11_kitchen_pos_47	positive
11_kitchen_pos_48	positive
11_kitchen_pos_49	negative
11_kitchen_pos_50	negative
11_kitchen_pos_51	negative
11_kitchen_pos_52	positive
11_kitchen_pos_53	positive
11_kitchen_pos_54	positive
11_kitchen_pos_55	positive
11_kitchen_pos_56	positive
11_kitchen_pos_57	positive
11_kitchen_pos_58	positive
11_kitchen_pos_59	negative
11_kitchen_pos_60	positive
11_kitchen_pos_61	positive
11_kitchen_pos_62	positive
11_kitchen_pos_63	positive
11_kitchen_pos_64	positive
11_kitchen_pos_65	negative
11_kitchen_pos_66	positive
11_kitchen_pos_67	positive
7_kitchen_neg_1	positive
7_kitchen_neg_2	positive
7_kitchen_neg_3	negative
7_kitchen_neg_4	negative
7_kitchen_neg_5	positive
7_kitchen_neg_6	negative
7_kitchen_neg_7	negative
7_kitchen_neg_8	positive
7_kitchen_neg_9	positive
7_kitchen_neg_10	negative
7_kitchen_neg_11	negative
7_kitchen_neg_12	negative
7_kitchen_neg_13	negative
7_kitchen_neg_14	positive
7_kitchen_neg_15	positive
7_kitchen_neg_16	positive
7_kitchen_neg_17	negative
7_kitchen_neg_18	negative
7_kitchen_neg_19	negative
7_kitchen_neg_20	negative
7_kitchen_neg_21	negative
7_kitchen_neg_22	negative
7_kitchen_neg_23	negative
7_kitchen_neg_24	negative
7_kitchen_neg_25	negative
7_kitchen_neg_26	negative
7_kitchen_neg_27	negative
7_kitchen_neg_28	negative
7_kitchen_neg_29	negative
7_kitchen_neg_30	negative
7_kitchen_neg_31	negative
7_kitchen_neg_32	negative
7_kitchen_neg_33	negative
7_kitchen_neg_34	negative
7_kitchen_neg_35	negative
7_kitchen_neg_36	negative
7_kitchen_neg_37	positive
7_kitchen_neg_38	positive
7_kitchen_neg_39	positive
7_kitchen_neg_40	negative
7_kitchen_neg_41	negative
7_kitchen_neg_42	negative
7_kitchen_neg_43	negative
7_kitchen_neg_44	negative
7_kitchen_neg_45	negative
7_kitchen_neg_46	negative
7_kitchen_neg_47	negative
7_kitchen_neg_48	negative
12_gourmet_pos_1	positive
12_gourmet_pos_2	positive
12_gourmet_pos_3	positive
12_gourmet_pos_4	positive
12_gourmet_pos_5	positive
12_gourmet_pos_6	positive
12_gourmet_pos_7	positive
12_gourmet_pos_8	positive
12_gourmet_pos_9	positive
12_gourmet_pos_10	positive
12_gourmet_pos_11	positive
12_gourmet_pos_12	positive
12_gourmet_pos_13	positive
12_gourmet_pos_14	positive
12_gourmet_pos_15	positive
12_gourmet_pos_16	positive
12_gourmet_pos_17	positive
12_gourmet_pos_18	positive
12_gourmet_pos_19	negative
12_gourmet_pos_20	negative
12_gourmet_pos_21	negative
12_gourmet_pos_22	negative
12_gourmet_pos_23	negative
12_gourmet_pos_24	positive
12_gourmet_pos_25	negative
12_gourmet_pos_26	negative
12_gourmet_pos_27	negative
12_gourmet_pos_28	positive
12_gourmet_pos_29	positive
12_gourmet_pos_30	positive
12_gourmet_pos_31	positive
12_gourmet_pos_32	positive
12_gourmet_pos_33	positive
12_gourmet_pos_34	positive
12_gourmet_pos_35	negative
12_gourmet_pos_36	positive
12_gourmet_pos_37	positive
12_gourmet_pos_38	positive
12_gourmet_pos_39	positive
12_gourmet_pos_40	positive
12_gourmet_pos_41	positive
12_gourmet_pos_42	positive
12_gourmet_pos_43	negative
3_gourmet_neg_1	negative
3_gourmet_neg_2	negative
3_gourmet_neg_3	negative
3_gourmet_neg_4	negative
3_gourmet_neg_5	negative
3_gourmet_neg_6	negative
3_gourmet_neg_7	negative
3_gourmet_neg_8	negative
3_gourmet_neg_9	negative
3_gourmet_neg_10	negative
3_gourmet_neg_11	negative
3_gourmet_neg_12	negative
3_gourmet_neg_13	negative
3_gourmet_neg_14	negative
3_gourmet_neg_15	positive
3_gourmet_neg_16	positive
3_gourmet_neg_17	positive
3_gourmet_neg_18	negative
3_gourmet_neg_19	negative
3_gourmet_neg_20	negative
3_gourmet_neg_21	negative
3_gourmet_neg_22	negative
3_gourmet_neg_23	negative
3_gourmet_neg_24	negative
3_gourmet_neg_25	negative
3_gourmet_neg_26	positive
3_gourmet_neg_27	positive
3_gourmet_neg_28	positive
3_gourmet_neg_29	positive
3_gourmet_neg_30	negative
3_gourmet_neg_31	negative
3_gourmet_neg_32	negative
3_gourmet_neg_33	negative
3_gourmet_neg_34	negative
3_gourmet_neg_35	negative
3_gourmet_neg_36	negative
3_gourmet_neg_37	negative
3_gourmet_neg_38	negative
3_gourmet_neg_39	negative
3_gourmet_neg_40	negative
3_gourmet_neg_41	negative
3_gourmet_neg_42	negative
3_gourmet_neg_43	negative
3_gourmet_neg_44	negative
3_gourmet_neg_45	negative
3_gourmet_neg_46	negative
3_gourmet_neg_47	negative
3_gourmet_neg_48	negative
3_gourmet_neg_49	negative
3_gourmet_neg_50	negative
3_gourmet_neg_51	negative
3_gourmet_neg_52	negative
3_gourmet_neg_53	negative
3_gourmet_neg_54	negative
3_gourmet_neg_55	negative
3_gourmet_neg_56	negative
3_gourmet_neg_57	negative
18_cell_neg_1	positive
18_cell_neg_2	positive
18_cell_neg_3	positive
18_cell_neg_4	positive
18_cell_neg_5	positive
18_cell_neg_6	positive
18_cell_neg_7	positive
18_cell_neg_8	positive
18_cell_neg_9	positive
18_cell_neg_10	positive
18_cell_neg_11	negative
18_cell_neg_12	negative
18_cell_neg_13	negative
18_cell_neg_14	negative
18_cell_neg_15	negative
18_cell_neg_16	negative
18_cell_neg_17	negative
18_cell_neg_18	negative
18_cell_neg_19	negative
18_cell_neg_20	negative
18_cell_neg_21	negative
18_cell_neg_22	negative
18_cell_neg_23	negative
18_cell_neg_24	negative
18_cell_neg_25	negative
18_cell_neg_26	negative
18_cell_neg_27	negative
18_cell_neg_28	negative
18_cell_neg_29	negative
18_cell_neg_30	negative
18_cell_neg_31	negative
18_cell_neg_32	negative
18_cell_neg_33	negative
18_cell_neg_34	negative
18_cell_neg_35	negative
18_cell_neg_36	negative
18_cell_neg_37	negative
18_cell_neg_38	negative
18_cell_neg_39	negative
4_cell_pos_1	positive
4_cell_pos_2	positive
4_cell_pos_3	negative
4_cell_pos_4	negative
4_cell_pos_5	negative
4_cell_pos_6	positive
4_cell_pos_7	positive
4_cell_pos_8	positive
4_cell_pos_9	negative
4_cell_pos_10	negative
4_cell_pos_11	negative
4_cell_pos_12	negative
4_cell_pos_13	positive
4_cell_pos_14	positive
4_cell_pos_15	positive
4_cell_pos_16	positive
4_cell_pos_17	positive
4_cell_pos_18	negative
4_cell_pos_19	negative
4_cell_pos_20	negative
4_cell_pos_21	negative
4_cell_pos_22	negative
4_cell_pos_23	negative
4_cell_pos_24	negative
4_cell_pos_25	positive
4_cell_pos_26	positive
4_cell_pos_27	positive
4_cell_pos_28	positive
4_cell_pos_29	positive
4_cell_pos_30	positive
4_cell_pos_31	positive
4_cell_pos_32	negative
4_cell_pos_33	negative
4_cell_pos_34	negative
4_cell_pos_35	negative
4_cell_pos_36	negative
4_cell_pos_37	negative
4_cell_pos_38	negative
4_cell_pos_39	negative
4_cell_pos_40	negative
4_cell_pos_41	negative
4_cell_pos_42	negative
4_cell_pos_43	negative
4_cell_pos_44	negative
4_cell_pos_45	negative
4_cell_pos_46	negative
4_cell_pos_47	negative
4_cell_pos_48	negative
4_cell_pos_49	negative
4_cell_pos_50	negative
4_cell_pos_51	negative
4_cell_pos_52	negative
4_cell_pos_53	negative
4_cell_pos_54	negative
4_cell_pos_55	negative
4_cell_pos_56	negative
4_cell_pos_57	negative
4_cell_pos_58	negative
4_cell_pos_59	negative
4_cell_pos_60	positive
4_cell_pos_61	negative
4_cell_pos_62	negative
4_cell_pos_63	negative
4_cell_pos_64	negative
4_cell_pos_65	negative
4_cell_pos_66	negative
4_cell_pos_67	negative
4_cell_pos_68	negative
4_cell_pos_69	positive
4_cell_pos_70	positive
4_cell_pos_71	positive
4_cell_pos_72	negative
4_cell_pos_73	negative
4_cell_pos_74	negative
4_cell_pos_75	negative
4_cell_pos_76	negative
4_cell_pos_77	positive
4_cell_pos_78	positive
4_cell_pos_79	negative
4_cell_pos_80	negative
4_cell_pos_81	negative
4_cell_pos_82	negative
4_cell_pos_83	negative
4_cell_pos_84	negative
4_cell_pos_85	negative
4_cell_pos_86	negative
4_cell_pos_87	negative
4_cell_pos_88	negative
4_cell_pos_89	negative
4_cell_pos_90	negative
4_cell_pos_91	positive
4_cell_pos_92	negative
4_cell_pos_93	negative
4_cell_pos_94	negative
4_cell_pos_95	negative
4_cell_pos_96	negative
4_cell_pos_97	negative
4_cell_pos_98	negative
4_cell_pos_99	negative
4_cell_pos_100	negative
4_cell_pos_101	negative
4_cell_pos_102	negative
4_cell_pos_103	positive
4_cell_pos_104	positive
4_cell_pos_105	positive
4_cell_pos_106	negative
4_cell_pos_107	negative
4_cell_pos_108	negative
4_cell_pos_109	negative
4_cell_pos_110	negative
4_cell_pos_111	negative
4_cell_pos_112	negative
4_cell_pos_113	negative
4_cell_pos_114	positive
4_cell_pos_115	negative
18_kitchen_pos_1	negative
18_kitchen_pos_2	negative
18_kitchen_pos_3	positive
18_kitchen_pos_4	negative
18_kitchen_pos_5	positive
18_kitchen_pos_6	positive
18_kitchen_pos_7	negative
18_kitchen_pos_8	negative
18_kitchen_pos_9	negative
18_kitchen_pos_10	positive
18_kitchen_pos_11	negative
18_kitchen_pos_12	negative
18_kitchen_pos_13	negative
18_kitchen_pos_14	negative
