1_cell_neg_44	1_cell_neg_45
1_cell_neg_86	1_cell_neg_87
1_cell_neg_128	1_cell_neg_129
1_cell_neg_149	1_cell_neg_150
1_cell_neg_162	1_cell_neg_163
1_cell_neg_181	1_cell_neg_182
1_cell_neg_191	1_cell_neg_192
13_cell_pos_1	13_cell_pos_2
13_cell_pos_7	13_cell_pos_8
13_cell_pos_41	13_cell_pos_42
13_cell_pos_47	13_cell_pos_48
13_cell_pos_48	13_cell_pos_49
13_cell_pos_80	13_cell_pos_81
13_cell_pos_82	13_cell_pos_83
17_gourmet_pos_12	17_gourmet_pos_13
17_gourmet_pos_39	17_gourmet_pos_40
12_cell_neg_8	12_cell_neg_9
12_cell_neg_9	12_cell_neg_10
12_cell_neg_34	12_cell_neg_35
17_cell_pos_37	17_cell_pos_38
2_kitchen_pos_37	2_kitchen_pos_38
2_kitchen_pos_74	2_kitchen_pos_75
2_kitchen_pos_75	2_kitchen_pos_76
3_kitchen_neg_27	3_kitchen_neg_28
3_kitchen_neg_41	3_kitchen_neg_42
3_kitchen_neg_51	3_kitchen_neg_52
3_kitchen_neg_76	3_kitchen_neg_77
16_gourmet_pos_12	16_gourmet_pos_13
16_gourmet_pos_39	16_gourmet_pos_40
5_gourmet_neg_5	5_gourmet_neg_6
5_gourmet_neg_10	5_gourmet_neg_11
5_gourmet_neg_34	5_gourmet_neg_35
5_gourmet_neg_35	5_gourmet_neg_36
