9_cell_neg_2	Coming  from  the  Blackberry  8700c  ,  this  phone  is  a  big  disappointment  . 	0.3333333333333333	0.25
9_cell_neg_3	Work  issued  this 	0.0001	0.0001
9_cell_neg_4	and  took  away  the  Blackberry 	0.0001	0.0001
9_cell_neg_5	and  I  'm  stuck  with  it  . 	0.0001	0.0001
9_cell_neg_6	All  I  can  do  is  whine  on  the  Internet  ,  so  here  it  goes  . 	0.125	0.25
9_cell_neg_7	The  more  I  use  the  thing  the  less  I  like  it  . 	0.0001	0.125
9_cell_neg_8	Here  's  my  list  ,  good  and  bad  . 	0.625	0.75
9_cell_neg_9	\*  Battery  life  -  attrocious  . 	0.0001	0.0001
9_cell_neg_10	Use  the  extended  battery  ,  throw  away  the  standard  one  . 	0.375	0.375
9_cell_neg_11	Trust  me  . 	0.0001	0.0001
9_cell_neg_12	Grade  : 	0.0001	0.0001
9_cell_neg_13	D  . 	0.25	0.125
9_cell_neg_14	\*  Navigation  -  cumbersome  . 	0.0001	0.0001
9_cell_neg_15	The  keys  are  too  small  , 	0.25	0.1875
9_cell_neg_16	the  5-way  nav  with  buttons  get 	0.0001	0.125
9_cell_neg_17	pressed  accidentally  . 	0.0001	0.125
9_cell_neg_18	Workable  if  you  do  n't  have  huge  hands  . 	0.0001	0.25
9_cell_neg_19	Grade  : 	0.0001	0.0001
9_cell_neg_20	B 	0.0001	0.0001
9_cell_neg_21	\*  Windows  Mobile  - 	0.0001	0.0001
9_cell_neg_22	I  hate  it  . 	0.75	0.0001
9_cell_neg_23	Why  do  applications  not  quit 	0.625	0.0001
9_cell_neg_24	when  you  end  them  ? 	0.0001	0.0001
9_cell_neg_25	Instead  they  stay  memory  resident 	0.0001	0.0001
9_cell_neg_26	and  you  have  to  manually  cancel  them  using  the  task  manager  . 	0.0001	0.25
9_cell_neg_27	The  menu  is  pre-loaded  with  goodies 	0.125	0.25
9_cell_neg_28	to  buy  from  Cingular  , 	0.0001	0.0001
9_cell_neg_29	how  convenient  . 	0.25	0.625
9_cell_neg_30	Grade  : 	0.0001	0.0001
9_cell_neg_31	C  +  if  you  bother  to  learn  the  shortcut  keys  . 	0.375	0.25
9_cell_neg_32	\*  Java  is  broken  , 	0.125	0.25
9_cell_neg_33	Google  email  does  n't  work  . 	0.0001	0.0001
9_cell_neg_34	Maps  DOES  work  with  the  new  version  ,  thankfully  . 	0.0001	0.375
9_cell_neg_35	Grade  : 	0.0001	0.0001
9_cell_neg_36	C  . 	0.0001	0.0001
9_cell_neg_37	\*  No  standard  headphone  jack  . 	0.25	0.25
9_cell_neg_38	HELLO  ?  ? 	0.0001	0.0001
9_cell_neg_39	This  is  suppose  to  be  an  MP3  player  ,  right  ? 	0.125	0.25
9_cell_neg_40	Somebody  explain  to  me 	0.0001	0.0001
9_cell_neg_41	why  this  is  OK  . 	0.125	0.25
9_cell_neg_42	Grade  : 	0.0001	0.0001
9_cell_neg_43	F  . 	0.0001	0.0001
9_cell_neg_44	\*  Phone  quality  -  Grade  A  . 	0.0001	0.375
9_cell_neg_45	Yes  , 	0.0001	0.25
9_cell_neg_46	they  did  something  right  . 	0.0001	0.25
9_cell_neg_47	The  phone  works  great  ,  reception  is  great  ,  speakerphone  is  great  . 	0.125	0.3333333333333333
9_cell_neg_48	Bluetooth  is  great  . 	0.125	0.25
9_cell_neg_49	\*  Outlook  &  email  -  This  is  workable  , 	0.125	0.25
9_cell_neg_50	but  difficult  . 	0.0001	0.0001
9_cell_neg_51	You  can  write  an  email  , 	0.0001	0.0001
9_cell_neg_52	you  can  edit  your  schedule  and  tasks  , 	0.0001	0.0001
9_cell_neg_53	but  it  's  not  easy  . 	0.4375	0.625
9_cell_neg_54	"If  Blackberry  gets  and  ""  A  "" "	0.0001	0.0001
9_cell_neg_55	-LRB-  and  it  does  -RRB-  , 	0.0001	0.0001
9_cell_neg_56	Blackjack  gets  a  C  . 	0.0001	0.125
9_cell_neg_57	It  does  n't  synch  notes  ,  so  if  you  `  re  an  Outlook  Notes  person 	0.0001	0.0001
9_cell_neg_58	you  `  re  just  left  out  ,  sorry  . 	0.625	0.0001
9_cell_neg_59	Why  ?  ? 	0.0001	0.0001
9_cell_neg_60	\*  Hardware  quality  -  Very  good  ,  B  +  . 	0.0001	0.5625
9_cell_neg_61	The  thing  really  feels  solidly  built  . 	0.25	0.375
9_cell_neg_62	The  screen  is  vibrant  and  attractive  . 	0.125	0.5625
9_cell_neg_63	The  camera  seems  to  work  fine  , 	0.125	0.0001
9_cell_neg_64	although  I  may  use  it  twice  per  year  . 	0.0001	0.0001
9_cell_neg_65	In  short  , 	0.0001	0.0001
9_cell_neg_66	if  you  really  want  to  get  work 	0.0001	0.3333333333333333
9_cell_neg_67	done  on  your  phone  get  a  Blackberry  . 	0.0001	0.0001
9_cell_neg_68	If  you  want  a  phone 	0.0001	0.25
9_cell_neg_69	that  does  a  lot  of  things  poorly 	0.75	0.0001
9_cell_neg_70	but  looks  nice  , 	0.0001	0.875
9_cell_neg_71	this  could  be  the  one  for  you  . 	0.125	0.25
15_cell_pos_1	My  previous  phone  was  the  Motorola  V60i  with  a  monochrome  screen  with  Cingular  ,  so  I  am  still  getting 	0.125	0.20833333333333334
15_cell_pos_2	used  to  all  the  differences  in  phone  capabilities 	0.375	0.4375
15_cell_pos_3	and  have  barely  scratched  the  surface  of  what  the  i560  can  do  . 	0.25	0.1875
