10_gourmet_pos_1	positive	False	10_gourmet_pos_0	I bought a few bags of these noodles
10_gourmet_pos_2	positive	False	10_gourmet_pos_1	after reading a very favorable review of them on the Hungry Girl website ,
10_gourmet_pos_3	positive	False	10_gourmet_pos_2	and I am glad
10_gourmet_pos_4	positive	False	10_gourmet_pos_3	that I did .
10_gourmet_pos_5	positive	False	10_gourmet_pos_4	They work well in a number of different recipes , are filling ,
10_gourmet_pos_6	positive	False	10_gourmet_pos_5	"and add a "" calcium boost "" to the dishes"
10_gourmet_pos_7	positive	False	10_gourmet_pos_6	I use them in , for very few calories .
10_gourmet_pos_8	positive	False	10_gourmet_pos_7	"These are not "" pasta "" type noodles , of course -"
10_gourmet_pos_9	positive	False	10_gourmet_pos_8	the texture is different
10_gourmet_pos_10	positive	False	10_gourmet_pos_9	"-LRB- softer and kind of "" slippery "" -RRB- ,"
10_gourmet_pos_11	positive	False	10_gourmet_pos_10	and they have virtually no flavor of their own -
10_gourmet_pos_12	positive	False	10_gourmet_pos_11	they take on the flavor
10_gourmet_pos_13	positive	False	10_gourmet_pos_12	of whatever sauce or dressing you
10_gourmet_pos_14	positive	False	10_gourmet_pos_13	use with them .
10_gourmet_pos_15	negative	False	10_gourmet_pos_14	I probably wo n't use these noodles with European-style or American-style sauces such as marinara or cheese sauce - those types of sauces were created for grain-based pastas ,
10_gourmet_pos_16	negative	False	10_gourmet_pos_15	which these are not .
10_gourmet_pos_17	positive	False	10_gourmet_pos_16	On the other hand , these noodles are fine in such Asian recipes as Pad Thai , Lo Mein and Dan-Dan Noodes
10_gourmet_pos_18	positive	False	10_gourmet_pos_17	-LRB- basically , noodles in a spicy peanut or sesame sauce -RRB- .
10_gourmet_pos_19	positive	False	10_gourmet_pos_18	There are a lot of Asian-style recipes in cookbooks and on the Internet
10_gourmet_pos_20	positive	False	10_gourmet_pos_19	which are fairly easy to make , taste terrific ,
10_gourmet_pos_21	positive	False	10_gourmet_pos_20	and work beautifully with these noodles .
10_gourmet_pos_22	positive	False	10_gourmet_pos_21	You can prepare yourself a real treat ,
10_gourmet_pos_23	positive	False	10_gourmet_pos_22	if you use these noodles in the types of recipes
10_gourmet_pos_24	positive	False	10_gourmet_pos_23	that work well with their texture ,
10_gourmet_pos_25	positive	False	10_gourmet_pos_24	and for a fraction of the calories
10_gourmet_pos_26	positive	False	10_gourmet_pos_25	you 'd eat if using regular noodles or rice .
10_gourmet_pos_27	negative	False	10_gourmet_pos_26	In short ,
10_gourmet_pos_28	negative	False	10_gourmet_pos_27	if you attempt something like spaghetti with meatballs or chicken cacciatore
10_gourmet_pos_29	negative	False	10_gourmet_pos_28	using these noodles ,
10_gourmet_pos_30	negative	False	10_gourmet_pos_29	you ` re likely to be disappointed ,
10_gourmet_pos_31	positive	False	10_gourmet_pos_30	but if you use them in Pad Thai , any type of curry , other Asian dishes , or most soups ,
10_gourmet_pos_32	positive	False	10_gourmet_pos_31	you ` re likely to find yourself enjoying a delicious and wonderfully low-cal , low-carb meal .
10_gourmet_pos_33	negative	False	10_gourmet_pos_32	One thing
10_gourmet_pos_34	positive	False	10_gourmet_pos_33	-
10_gourmet_pos_35	negative	False	10_gourmet_pos_34	when you open the bag ,
10_gourmet_pos_36	negative	False	10_gourmet_pos_35	there is a slight ammonia-like odor
10_gourmet_pos_37	negative	False	10_gourmet_pos_36	-LRB- it smells ammonia-like to me , anyway -RRB- .
10_gourmet_pos_38	positive	False	10_gourmet_pos_37	If you rinse the noodles well
10_gourmet_pos_39	positive	False	10_gourmet_pos_38	and then parboil them for a few minutes , as per the package directions ,
10_gourmet_pos_40	positive	False	10_gourmet_pos_39	the odor really does disappear .
10_gourmet_pos_41	negative	False	10_gourmet_pos_40	It is not a strong odor ,
10_gourmet_pos_42	negative	False	10_gourmet_pos_41	it wo n't permeate your kitchen or anything like that ,
10_gourmet_pos_43	negative	False	10_gourmet_pos_42	but you will definitely want to rinse and parboil the noodles before using them .
10_gourmet_pos_44	positive	False	10_gourmet_pos_43	Just follow the package directions
