15_cell_neg_1	15_cell_neg_0
15_cell_neg_2	15_cell_neg_1
15_cell_neg_3	15_cell_neg_2
15_cell_neg_4	15_cell_neg_3
15_cell_neg_5	15_cell_neg_4
15_cell_neg_6	15_cell_neg_5
15_cell_neg_7	15_cell_neg_6
15_cell_neg_8	15_cell_neg_7
15_cell_neg_9	15_cell_neg_8
15_cell_neg_10	15_cell_neg_9
15_cell_neg_11	15_cell_neg_10
15_cell_neg_12	15_cell_neg_11
15_cell_neg_13	15_cell_neg_12
15_cell_neg_14	15_cell_neg_13
15_cell_neg_15	15_cell_neg_14
15_cell_neg_16	15_cell_neg_15
15_cell_neg_17	15_cell_neg_16
15_cell_neg_18	15_cell_neg_17
15_cell_neg_19	15_cell_neg_18
15_cell_neg_20	15_cell_neg_19
15_cell_neg_21	15_cell_neg_20
15_cell_neg_22	15_cell_neg_21
15_cell_neg_23	15_cell_neg_22
15_cell_neg_24	15_cell_neg_23
15_cell_neg_25	15_cell_neg_24
15_cell_neg_26	15_cell_neg_25
15_cell_neg_27	15_cell_neg_26
15_cell_neg_28	15_cell_neg_27
15_cell_neg_29	15_cell_neg_28
15_cell_neg_30	15_cell_neg_29
15_cell_neg_31	15_cell_neg_30
15_cell_neg_32	15_cell_neg_31
15_cell_neg_33	15_cell_neg_32
15_cell_neg_34	15_cell_neg_33
15_cell_neg_35	15_cell_neg_34
15_cell_neg_36	15_cell_neg_35
15_cell_neg_37	15_cell_neg_36
15_cell_neg_38	15_cell_neg_37
15_cell_neg_39	15_cell_neg_38
15_cell_neg_40	15_cell_neg_39
15_cell_neg_41	15_cell_neg_40
7_cell_neg_1	7_cell_neg_0
7_cell_neg_2	7_cell_neg_1
7_cell_neg_3	7_cell_neg_2
7_cell_neg_4	7_cell_neg_3
7_cell_neg_5	7_cell_neg_4
7_cell_neg_6	7_cell_neg_5
7_cell_neg_7	7_cell_neg_6
7_cell_neg_8	7_cell_neg_7
7_cell_neg_9	7_cell_neg_8
7_cell_neg_10	7_cell_neg_9
7_cell_neg_11	7_cell_neg_10
7_cell_neg_12	7_cell_neg_11
7_cell_neg_13	7_cell_neg_12
7_cell_neg_14	7_cell_neg_13
7_cell_neg_15	7_cell_neg_14
7_cell_neg_16	7_cell_neg_15
7_cell_neg_17	7_cell_neg_16
7_cell_neg_18	7_cell_neg_17
