18_gourmet_neg_1	I have an Indian
18_gourmet_neg_2	-LRB- American -RRB-
18_gourmet_neg_3	friend ,
18_gourmet_neg_4	that gets free whole powdered eggs from the gov commodity program .
18_gourmet_neg_5	"She has often made me "" yummy\/flavorfull "" egg sandwiches"
18_gourmet_neg_6	-LRB- i. e . scrambled eggs . . . -RRB- !
18_gourmet_neg_7	I decided to buy some Honeyville & try it ?
18_gourmet_neg_8	What a disappointment for scrambled eggs
18_gourmet_neg_9	-LRB- do n't know about baking . . . ? -RRB- !
18_gourmet_neg_10	1 . Their is NO flavor ,
18_gourmet_neg_11	whatsoever ! ! !
18_gourmet_neg_12	2 .
18_gourmet_neg_13	"Sticks "" hard "" to oiled stainless frying pan"
18_gourmet_neg_14	-LRB- fried like a pancake -RRB-
18_gourmet_neg_15	-
18_gourmet_neg_16	Worked better
18_gourmet_neg_17	when I mixed in 1tsp of Canola oil , per egg . . .
18_gourmet_neg_18	-LRB- like waffles . . . -RRB- .
18_gourmet_neg_19	For 1 egg sandwich -
18_gourmet_neg_20	I mix 1\/4 cup water , to 1\/4 cup mix
18_gourmet_neg_21	-LRB- they say 2-1 -RRB- ,
18_gourmet_neg_22	which was a runny mess
18_gourmet_neg_23	-LRB- maybe for baking ? -RRB- .
18_gourmet_neg_24	Limited shelf life . . .
18_gourmet_neg_25	-
18_gourmet_neg_26	I store unused mix in the freezer
