PhraseIDs	Polarity
13_cell_neg_1	positive
13_cell_neg_2	positive
13_cell_neg_3	negative
13_cell_neg_4	negative
13_cell_neg_5	negative
13_cell_neg_6	positive
13_cell_neg_7	positive
13_cell_neg_8	positive
13_cell_neg_9	positive
13_cell_neg_10	positive
13_cell_neg_11	negative
13_cell_neg_12	negative
13_cell_neg_13	negative
13_cell_neg_14	negative
13_cell_neg_15	negative
13_cell_neg_16	negative
13_cell_neg_17	negative
13_cell_neg_18	negative
13_cell_neg_19	negative
13_cell_neg_20	negative
13_cell_neg_21	negative
13_cell_neg_22	negative
13_cell_neg_23	negative
13_cell_neg_24	negative
13_cell_neg_25	negative
13_cell_neg_26	negative
13_cell_neg_27	negative
13_cell_neg_28	negative
13_cell_neg_29	negative
13_cell_neg_30	negative
13_cell_neg_31	negative
13_cell_neg_32	negative
13_cell_neg_33	negative
13_cell_neg_34	negative
13_cell_neg_35	negative
13_cell_neg_36	negative
13_cell_neg_37	negative
13_cell_neg_38	negative
13_cell_neg_39	negative
13_cell_neg_40	negative
13_cell_neg_41	negative
13_cell_neg_42	negative
13_cell_neg_43	negative
13_cell_neg_44	negative
13_cell_neg_45	negative
6_cell_pos_1	positive
6_cell_pos_2	positive
6_cell_pos_3	positive
6_cell_pos_4	positive
6_cell_pos_5	positive
6_cell_pos_6	positive
6_cell_pos_7	positive
6_cell_pos_8	positive
6_cell_pos_9	positive
6_cell_pos_10	positive
6_cell_pos_11	positive
6_cell_pos_12	negative
6_cell_pos_13	negative
6_cell_pos_14	negative
6_cell_pos_15	positive
6_cell_pos_16	positive
6_cell_pos_17	positive
6_cell_pos_18	positive
6_cell_pos_19	positive
6_cell_pos_20	positive
6_cell_pos_21	positive
6_cell_pos_22	positive
6_cell_pos_23	positive
6_cell_pos_24	positive
6_cell_pos_25	positive
6_cell_pos_26	positive
6_cell_pos_27	positive
6_cell_pos_28	positive
6_cell_pos_29	positive
6_cell_pos_30	positive
6_cell_pos_31	positive
6_cell_pos_32	positive
6_cell_pos_33	positive
6_cell_pos_34	positive
6_cell_pos_35	positive
6_cell_pos_36	positive
6_cell_pos_37	positive
6_cell_pos_38	positive
6_cell_pos_39	positive
6_cell_pos_40	positive
6_cell_pos_41	positive
6_cell_pos_42	positive
6_cell_pos_43	positive
6_cell_pos_44	positive
6_cell_pos_45	positive
6_cell_pos_46	positive
6_cell_pos_47	positive
6_cell_pos_48	positive
6_cell_pos_49	positive
6_cell_pos_50	positive
6_cell_pos_51	negative
6_cell_pos_52	negative
6_cell_pos_53	negative
6_cell_pos_54	positive
6_cell_pos_55	positive
6_cell_pos_56	positive
6_cell_pos_57	positive
6_cell_pos_58	positive
6_cell_pos_59	positive
6_cell_pos_60	negative
6_cell_pos_61	negative
6_cell_pos_62	negative
6_cell_pos_63	negative
6_cell_pos_64	negative
6_cell_pos_65	negative
6_cell_pos_66	positive
6_cell_pos_67	positive
6_cell_pos_68	negative
6_cell_pos_69	negative
6_cell_pos_70	negative
6_cell_pos_71	negative
6_cell_pos_72	positive
