PhraseIDs	Contrast
7_cell_neg_1	False
7_cell_neg_2	False
7_cell_neg_3	False
7_cell_neg_4	False
7_cell_neg_5	False
7_cell_neg_6	False
7_cell_neg_7	False
7_cell_neg_8	False
7_cell_neg_9	False
7_cell_neg_10	False
7_cell_neg_11	False
7_cell_neg_12	False
7_cell_neg_13	False
7_cell_neg_14	False
7_cell_neg_15	False
7_cell_neg_16	True
7_cell_neg_17	False
7_cell_neg_18	False
7_cell_neg_19	False
7_cell_neg_20	False
7_cell_neg_21	False
7_cell_neg_22	False
7_cell_neg_23	False
7_cell_neg_24	False
7_cell_neg_25	False
7_cell_neg_26	False
7_cell_neg_27	False
7_cell_neg_28	False
7_cell_neg_29	False
7_cell_neg_30	False
7_cell_neg_31	False
7_cell_neg_32	False
7_cell_neg_33	False
7_cell_neg_34	False
7_cell_neg_35	False
7_cell_neg_36	False
7_cell_neg_37	False
7_cell_neg_38	False
7_cell_neg_39	False
7_cell_neg_40	False
7_cell_neg_41	False
7_cell_neg_42	False
7_cell_neg_43	False
7_cell_neg_44	False
7_cell_neg_45	False
7_cell_neg_46	False
7_cell_neg_47	False
7_cell_neg_48	True
7_cell_neg_49	False
7_cell_neg_50	False
7_cell_neg_51	False
7_cell_neg_52	False
7_cell_neg_53	False
18_cell_pos_1	False
18_cell_pos_2	False
18_cell_pos_3	False
18_cell_pos_4	False
18_cell_pos_5	False
18_cell_pos_6	False
18_cell_pos_7	False
18_cell_pos_8	False
18_cell_pos_9	False
18_cell_pos_10	False
18_cell_pos_11	False
18_cell_pos_12	True
18_cell_pos_13	True
18_cell_pos_14	False
18_cell_pos_15	True
18_cell_pos_16	False
18_cell_pos_17	False
18_cell_pos_18	False
18_cell_pos_19	False
18_cell_pos_20	False
18_cell_pos_21	False
18_cell_pos_22	False
18_cell_pos_23	True
18_cell_pos_24	False
18_cell_pos_25	False
18_cell_pos_26	True
18_cell_pos_27	False
18_cell_pos_28	False
18_cell_pos_29	False
18_cell_pos_30	False
18_cell_pos_31	False
18_cell_pos_32	False
18_cell_pos_33	False
18_cell_pos_34	False
18_cell_pos_35	False
18_cell_pos_36	False
18_cell_pos_37	False
18_cell_pos_38	False
18_cell_pos_39	False
18_cell_pos_40	False
18_cell_pos_41	False
18_cell_pos_42	False
18_cell_pos_43	False
18_cell_pos_44	False
18_cell_pos_45	False
18_cell_pos_46	False
18_cell_pos_47	False
18_cell_pos_48	False
18_cell_pos_49	False
18_cell_pos_50	False
18_cell_pos_51	False
18_cell_pos_52	False
18_cell_pos_53	False
18_cell_pos_54	False
18_cell_pos_55	False
18_cell_pos_56	False
18_cell_pos_57	False
18_cell_pos_58	False
18_cell_pos_59	False
18_cell_pos_60	True
18_cell_pos_61	False
18_cell_pos_62	False
18_cell_pos_63	False
18_cell_pos_64	False
18_cell_pos_65	False
18_cell_pos_66	False
18_cell_pos_67	False
13_kitchen_pos_1	False
13_kitchen_pos_2	False
13_kitchen_pos_3	False
13_kitchen_pos_4	False
13_kitchen_pos_5	False
13_kitchen_pos_6	False
13_kitchen_pos_7	False
13_kitchen_pos_8	True
13_kitchen_pos_9	False
13_kitchen_pos_10	False
13_kitchen_pos_11	False
13_kitchen_pos_12	False
13_kitchen_pos_13	False
13_kitchen_pos_14	False
13_kitchen_pos_15	False
13_kitchen_pos_16	False
13_kitchen_pos_17	False
13_kitchen_pos_18	False
13_kitchen_pos_19	False
13_kitchen_pos_20	False
13_kitchen_pos_21	False
13_kitchen_pos_22	False
13_kitchen_pos_23	False
13_kitchen_pos_24	False
13_kitchen_pos_25	False
13_kitchen_pos_26	False
13_kitchen_pos_27	False
13_kitchen_pos_28	True
13_kitchen_pos_29	False
13_kitchen_pos_30	False
13_kitchen_pos_31	False
13_kitchen_pos_32	False
13_kitchen_pos_33	False
13_kitchen_pos_34	False
13_kitchen_pos_35	False
13_kitchen_pos_36	False
13_kitchen_pos_37	False
13_kitchen_pos_38	False
13_kitchen_pos_39	False
13_kitchen_pos_40	False
13_kitchen_pos_41	False
13_kitchen_pos_42	False
13_kitchen_pos_43	False
13_kitchen_pos_44	False
13_kitchen_pos_45	False
13_kitchen_pos_46	False
13_kitchen_pos_47	False
13_kitchen_pos_48	False
13_kitchen_pos_49	False
13_kitchen_pos_50	False
13_kitchen_pos_51	False
13_kitchen_pos_52	False
13_kitchen_pos_53	False
13_kitchen_pos_54	True
13_kitchen_pos_55	False
13_kitchen_pos_56	False
13_kitchen_pos_57	False
13_kitchen_pos_58	False
13_kitchen_pos_59	False
6_kitchen_neg_1	False
6_kitchen_neg_2	False
6_kitchen_neg_3	False
6_kitchen_neg_4	False
6_kitchen_neg_5	False
6_kitchen_neg_6	False
6_kitchen_neg_7	False
6_kitchen_neg_8	False
6_kitchen_neg_9	False
6_kitchen_neg_10	False
6_kitchen_neg_11	False
6_kitchen_neg_12	False
6_kitchen_neg_13	False
6_kitchen_neg_14	False
6_kitchen_neg_15	False
6_kitchen_neg_16	False
6_kitchen_neg_17	False
6_kitchen_neg_18	False
6_kitchen_neg_19	True
