PhraseIDs	Contrast
14_cell_neg_1	False
14_cell_neg_2	False
14_cell_neg_3	False
14_cell_neg_4	True
14_cell_neg_5	False
14_cell_neg_6	False
14_cell_neg_7	False
14_cell_neg_8	False
14_cell_neg_9	False
14_cell_neg_10	False
14_cell_neg_11	False
14_cell_neg_12	False
14_cell_neg_13	False
14_cell_neg_14	False
14_cell_neg_15	False
14_cell_neg_16	False
14_cell_neg_17	False
14_cell_neg_18	False
14_cell_neg_19	False
14_cell_neg_20	False
14_cell_neg_21	False
14_cell_neg_22	False
14_cell_neg_23	False
14_cell_neg_24	False
14_cell_neg_25	False
14_cell_neg_26	False
14_cell_neg_27	False
14_cell_neg_28	False
14_cell_neg_29	False
14_cell_neg_30	False
14_cell_neg_31	False
14_cell_neg_32	False
14_cell_neg_33	False
14_cell_neg_34	False
14_cell_neg_35	False
14_cell_neg_36	False
14_cell_neg_37	False
14_cell_neg_38	False
14_cell_neg_39	False
14_cell_neg_40	False
14_cell_neg_41	False
14_cell_neg_42	False
14_cell_neg_43	False
14_cell_neg_44	False
14_cell_neg_45	False
14_cell_neg_46	False
14_cell_neg_47	False
14_cell_neg_48	False
14_cell_neg_49	False
3_cell_pos_1	False
3_cell_pos_2	False
3_cell_pos_3	False
3_cell_pos_4	False
3_cell_pos_5	False
3_cell_pos_6	False
3_cell_pos_7	False
3_cell_pos_8	False
3_cell_pos_9	False
3_cell_pos_10	False
3_cell_pos_11	False
3_cell_pos_12	False
3_cell_pos_13	False
3_cell_pos_14	False
3_cell_pos_15	False
3_cell_pos_16	False
3_cell_pos_17	False
3_cell_pos_18	False
3_cell_pos_19	True
3_cell_pos_20	False
3_cell_pos_21	False
3_cell_pos_22	False
3_cell_pos_23	False
3_cell_pos_24	False
3_cell_pos_25	False
3_cell_pos_26	False
3_cell_pos_27	False
3_cell_pos_28	True
3_cell_pos_29	False
3_cell_pos_30	False
3_cell_pos_31	False
3_cell_pos_32	False
3_cell_pos_33	False
3_cell_pos_34	False
3_cell_pos_35	False
3_cell_pos_36	False
3_cell_pos_37	False
3_cell_pos_38	False
3_cell_pos_39	False
3_cell_pos_40	False
3_cell_pos_41	False
3_cell_pos_42	False
3_cell_pos_43	False
3_cell_pos_44	False
3_cell_pos_45	False
3_cell_pos_46	False
3_cell_pos_47	False
3_cell_pos_48	False
3_cell_pos_49	False
3_cell_pos_50	False
3_cell_pos_51	False
3_cell_pos_52	False
3_cell_pos_53	False
3_cell_pos_54	False
3_cell_pos_55	False
3_cell_pos_56	False
3_cell_pos_57	False
3_cell_pos_58	False
3_cell_pos_59	False
3_cell_pos_60	False
3_cell_pos_61	False
3_cell_pos_62	False
3_cell_pos_63	False
3_cell_pos_64	False
3_cell_pos_65	False
3_cell_pos_66	False
3_cell_pos_67	False
3_cell_pos_68	False
3_cell_pos_69	False
3_cell_pos_70	False
3_cell_pos_71	False
3_cell_pos_72	False
3_cell_pos_73	False
3_cell_pos_74	False
3_cell_pos_75	False
3_cell_pos_76	False
3_cell_pos_77	False
3_cell_pos_78	False
3_cell_pos_79	False
3_cell_pos_80	False
3_cell_pos_81	False
3_cell_pos_82	False
3_cell_pos_83	False
3_cell_pos_84	False
3_cell_pos_85	False
3_cell_pos_86	False
3_cell_pos_87	False
3_cell_pos_88	False
3_cell_pos_89	False
3_cell_pos_90	False
3_cell_pos_91	False
3_cell_pos_92	False
3_cell_pos_93	False
3_cell_pos_94	False
3_cell_pos_95	False
3_cell_pos_96	False
3_cell_pos_97	False
3_cell_pos_98	True
3_cell_pos_99	False
3_cell_pos_100	False
3_cell_pos_101	False
3_cell_pos_102	False
3_cell_pos_103	False
3_cell_pos_104	False
3_cell_pos_105	False
3_cell_pos_106	False
3_cell_pos_107	False
3_cell_pos_108	False
3_cell_pos_109	False
3_cell_pos_110	False
3_cell_pos_111	False
3_cell_pos_112	False
