PhraseID	Polarity
13_cell_neg_1	0
13_cell_neg_2	1
13_cell_neg_3	1
13_cell_neg_4	0
13_cell_neg_5	1
13_cell_neg_6	1
13_cell_neg_7	1
13_cell_neg_8	1
13_cell_neg_9	1
13_cell_neg_10	0
13_cell_neg_11	-1
13_cell_neg_12	0
13_cell_neg_13	0
13_cell_neg_14	0
13_cell_neg_15	-1
13_cell_neg_16	1
13_cell_neg_17	0
13_cell_neg_18	0
13_cell_neg_19	1
13_cell_neg_20	0
13_cell_neg_21	0
13_cell_neg_22	1
13_cell_neg_23	-1
13_cell_neg_24	0
13_cell_neg_25	0
13_cell_neg_26	1
13_cell_neg_27	0
13_cell_neg_28	0
13_cell_neg_29	0
13_cell_neg_30	1
13_cell_neg_31	-1
13_cell_neg_32	-1
13_cell_neg_33	1
13_cell_neg_34	0
13_cell_neg_35	0
13_cell_neg_36	0
13_cell_neg_37	1
13_cell_neg_38	1
13_cell_neg_39	1
13_cell_neg_40	-1
13_cell_neg_41	0
13_cell_neg_42	1
13_cell_neg_43	0
13_cell_neg_44	1
13_cell_neg_45	-1
6_cell_pos_1	1
6_cell_pos_2	1
6_cell_pos_3	1
6_cell_pos_4	1
6_cell_pos_5	0
6_cell_pos_6	1
6_cell_pos_7	1
6_cell_pos_8	0
6_cell_pos_9	1
6_cell_pos_10	0
6_cell_pos_11	1
6_cell_pos_12	1
6_cell_pos_13	1
6_cell_pos_14	-1
6_cell_pos_15	1
6_cell_pos_16	-1
6_cell_pos_17	1
6_cell_pos_18	0
6_cell_pos_19	1
6_cell_pos_20	1
6_cell_pos_21	1
6_cell_pos_22	1
6_cell_pos_23	1
6_cell_pos_24	1
6_cell_pos_25	1
6_cell_pos_26	1
6_cell_pos_27	1
6_cell_pos_28	1
6_cell_pos_29	0
6_cell_pos_30	0
6_cell_pos_31	-1
6_cell_pos_32	0
6_cell_pos_33	-1
6_cell_pos_34	1
6_cell_pos_35	0
6_cell_pos_36	-1
6_cell_pos_37	0
6_cell_pos_38	1
6_cell_pos_39	1
6_cell_pos_40	-1
6_cell_pos_41	-1
6_cell_pos_42	1
6_cell_pos_43	0
6_cell_pos_44	-1
6_cell_pos_45	0
6_cell_pos_46	1
6_cell_pos_47	-1
6_cell_pos_48	1
6_cell_pos_49	1
6_cell_pos_50	1
6_cell_pos_51	1
6_cell_pos_52	0
6_cell_pos_53	0
6_cell_pos_54	-1
6_cell_pos_55	-1
6_cell_pos_56	1
6_cell_pos_57	0
6_cell_pos_58	1
6_cell_pos_59	-1
6_cell_pos_60	-1
6_cell_pos_61	-1
6_cell_pos_62	0
6_cell_pos_63	-1
6_cell_pos_64	-1
6_cell_pos_65	0
6_cell_pos_66	1
6_cell_pos_67	1
6_cell_pos_68	0
6_cell_pos_69	0
6_cell_pos_70	1
6_cell_pos_71	-1
6_cell_pos_72	-1
6_cell_pos_73	-1
6_cell_pos_74	-1
6_cell_pos_75	0
6_cell_pos_76	1
6_cell_pos_77	1
6_cell_pos_78	0
6_cell_pos_79	-1
6_cell_pos_80	-1
6_cell_pos_81	1
6_cell_pos_82	0
6_cell_pos_83	0
6_cell_pos_84	1
6_cell_pos_85	1
6_cell_pos_86	0
6_cell_pos_87	1
6_cell_pos_88	-1
6_cell_pos_89	0
6_cell_pos_90	-1
6_cell_pos_91	1
6_cell_pos_92	-1
6_cell_pos_93	0
6_cell_pos_94	-1
6_cell_pos_95	0
1_kitchen_pos_1	-1
1_kitchen_pos_2	1
1_kitchen_pos_3	-1
1_kitchen_pos_4	-1
1_kitchen_pos_5	0
1_kitchen_pos_6	-1
1_kitchen_pos_7	0
1_kitchen_pos_8	1
1_kitchen_pos_9	1
1_kitchen_pos_10	-1
1_kitchen_pos_11	1
1_kitchen_pos_12	1
1_kitchen_pos_13	0
1_kitchen_pos_14	1
1_kitchen_pos_15	1
1_kitchen_pos_16	-1
1_kitchen_pos_17	1
1_kitchen_pos_18	0
1_kitchen_pos_19	0
1_kitchen_pos_20	0
1_kitchen_pos_21	1
1_kitchen_pos_22	0
