PhraseID	Polarity
6_cell_neg_1	1
6_cell_neg_2	-1
6_cell_neg_3	0
6_cell_neg_4	1
6_cell_neg_5	-1
6_cell_neg_6	0
6_cell_neg_7	0
6_cell_neg_8	1
6_cell_neg_9	-1
6_cell_neg_10	1
6_cell_neg_11	0
6_cell_neg_12	-1
6_cell_neg_13	0
6_cell_neg_14	1
6_cell_neg_15	1
6_cell_neg_16	1
6_cell_neg_17	0
6_cell_neg_18	-1
6_cell_neg_19	0
6_cell_neg_20	-1
6_cell_neg_21	1
6_cell_neg_22	0
6_cell_neg_23	1
6_cell_neg_24	0
6_cell_neg_25	0
6_cell_neg_26	0
6_cell_neg_27	1
6_cell_neg_28	0
6_cell_neg_29	0
6_cell_neg_30	1
6_cell_neg_31	0
6_cell_neg_32	1
6_cell_neg_33	0
6_cell_neg_34	0
6_cell_neg_35	0
6_cell_neg_36	0
6_cell_neg_37	-1
6_cell_neg_38	0
6_cell_neg_39	-1
6_cell_neg_40	0
6_cell_neg_41	0
6_cell_neg_42	1
6_cell_neg_43	-1
6_cell_neg_44	-1
6_cell_neg_45	0
6_cell_neg_46	1
6_cell_neg_47	1
6_cell_neg_48	-1
6_cell_neg_49	1
6_cell_neg_50	-1
6_cell_neg_51	1
6_cell_neg_52	0
6_cell_neg_53	0
6_cell_neg_54	1
6_cell_neg_55	1
6_cell_neg_56	0
6_cell_neg_57	1
6_cell_neg_58	1
6_cell_neg_59	1
6_cell_neg_60	1
6_cell_neg_61	0
6_cell_neg_62	1
6_cell_neg_63	1
6_cell_neg_64	0
6_cell_neg_65	1
6_cell_neg_66	1
6_cell_neg_67	-1
6_cell_neg_68	1
6_cell_neg_69	-1
6_cell_neg_70	1
6_cell_neg_71	0
6_cell_neg_72	0
6_cell_neg_73	0
14_cell_pos_1	-1
14_cell_pos_2	-1
14_cell_pos_3	1
14_cell_pos_4	-1
14_cell_pos_5	1
14_cell_pos_6	0
14_cell_pos_7	0
14_cell_pos_8	1
14_cell_pos_9	1
14_cell_pos_10	0
14_cell_pos_11	1
14_cell_pos_12	1
14_cell_pos_13	0
14_cell_pos_14	1
14_cell_pos_15	1
14_cell_pos_16	1
14_cell_pos_17	1
14_cell_pos_18	0
14_cell_pos_19	0
14_cell_pos_20	0
14_cell_pos_21	1
14_cell_pos_22	0
14_cell_pos_23	0
14_cell_pos_24	0
14_cell_pos_25	1
14_cell_pos_26	1
14_cell_pos_27	0
14_cell_pos_28	-1
14_cell_pos_29	0
14_cell_pos_30	1
14_cell_pos_31	-1
14_cell_pos_32	1
14_cell_pos_33	1
14_cell_pos_34	0
14_cell_pos_35	1
14_cell_pos_36	1
14_cell_pos_37	1
14_cell_pos_38	1
14_cell_pos_39	1
14_cell_pos_40	0
14_cell_pos_41	-1
14_cell_pos_42	0
14_cell_pos_43	1
14_cell_pos_44	0
14_cell_pos_45	-1
14_cell_pos_46	1
14_cell_pos_47	0
14_cell_pos_48	1
14_cell_pos_49	0
14_cell_pos_50	-1
14_cell_pos_51	1
14_cell_pos_52	0
14_cell_pos_53	-1
14_cell_pos_54	1
14_cell_pos_55	1
14_cell_pos_56	-1
14_cell_pos_57	1
14_cell_pos_58	-1
14_cell_pos_59	1
14_cell_pos_60	-1
14_cell_pos_61	0
14_cell_pos_62	1
14_cell_pos_63	1
14_cell_pos_64	0
14_cell_pos_65	0
14_cell_pos_66	0
14_cell_pos_67	-1
14_cell_pos_68	1
14_cell_pos_69	0
14_cell_pos_70	-1
14_cell_pos_71	1
14_cell_pos_72	0
14_cell_pos_73	1
14_cell_pos_74	1
14_cell_pos_75	-1
14_cell_pos_76	0
14_cell_pos_77	0
14_cell_pos_78	-1
14_cell_pos_79	1
14_cell_pos_80	1
14_cell_pos_81	1
6_kitchen_pos_1	1
6_kitchen_pos_2	0
6_kitchen_pos_3	-1
6_kitchen_pos_4	1
6_kitchen_pos_5	0
6_kitchen_pos_6	0
6_kitchen_pos_7	0
6_kitchen_pos_8	0
6_kitchen_pos_9	0
6_kitchen_pos_10	0
6_kitchen_pos_11	-1
6_kitchen_pos_12	0
6_kitchen_pos_13	0
6_kitchen_pos_14	0
6_kitchen_pos_15	0
6_kitchen_pos_16	0
6_kitchen_pos_17	0
6_kitchen_pos_18	1
6_kitchen_pos_19	0
6_kitchen_pos_20	1
6_kitchen_pos_21	0
6_kitchen_pos_22	-1
6_kitchen_pos_23	1
6_kitchen_pos_24	0
6_kitchen_pos_25	-1
6_kitchen_pos_26	-1
6_kitchen_pos_27	-1
6_kitchen_pos_28	1
6_kitchen_pos_29	1
6_kitchen_pos_30	1
6_kitchen_pos_31	-1
6_kitchen_pos_32	0
6_kitchen_pos_33	0
6_kitchen_pos_34	0
6_kitchen_pos_35	0
6_kitchen_pos_36	1
6_kitchen_pos_37	1
6_kitchen_pos_38	1
6_kitchen_pos_39	-1
6_kitchen_pos_40	1
6_kitchen_pos_41	0
6_kitchen_pos_42	1
6_kitchen_pos_43	1
6_kitchen_pos_44	1
6_kitchen_pos_45	0
6_kitchen_pos_46	0
6_kitchen_pos_47	0
6_kitchen_pos_48	1
6_kitchen_pos_49	0
6_kitchen_pos_50	0
6_kitchen_pos_51	-1
6_kitchen_pos_52	1
6_kitchen_pos_53	-1
6_kitchen_pos_54	0
6_kitchen_pos_55	1
6_kitchen_pos_56	0
6_kitchen_pos_57	0
6_kitchen_pos_58	0
6_kitchen_pos_59	0
6_kitchen_pos_60	1
6_kitchen_pos_61	0
6_kitchen_pos_62	1
6_kitchen_pos_63	0
6_kitchen_pos_64	1
6_kitchen_pos_65	1
