PhraseID	Polarity
8_cell_neg_1	0
8_cell_neg_2	1
8_cell_neg_3	1
8_cell_neg_4	1
8_cell_neg_5	1
8_cell_neg_6	-1
8_cell_neg_7	-1
8_cell_neg_8	-1
8_cell_neg_9	1
8_cell_neg_10	-1
8_cell_neg_11	0
8_cell_neg_12	1
8_cell_neg_13	1
8_cell_neg_14	1
8_cell_neg_15	0
8_cell_neg_16	0
8_cell_neg_17	-1
8_cell_neg_18	0
8_cell_neg_19	0
8_cell_neg_20	0
8_cell_neg_21	0
8_cell_neg_22	1
8_cell_neg_23	1
8_cell_neg_24	0
8_cell_neg_25	0
8_cell_neg_26	-1
8_cell_neg_27	0
8_cell_neg_28	1
8_cell_neg_29	0
8_cell_neg_30	0
8_cell_neg_31	1
8_cell_neg_32	-1
8_cell_neg_33	1
8_cell_neg_34	-1
8_cell_neg_35	0
8_cell_neg_36	0
8_cell_neg_37	1
8_cell_neg_38	1
8_cell_neg_39	0
8_cell_neg_40	-1
8_cell_neg_41	1
8_cell_neg_42	0
8_cell_neg_43	0
8_cell_neg_44	1
8_cell_neg_45	1
8_cell_neg_46	0
8_cell_neg_47	1
8_cell_neg_48	0
8_cell_neg_49	1
8_cell_neg_50	1
8_cell_neg_51	1
8_cell_neg_52	-1
8_cell_neg_53	1
8_cell_neg_54	1
9_cell_pos_1	0
9_cell_pos_2	1
9_cell_pos_3	0
9_cell_pos_4	1
9_cell_pos_5	0
9_cell_pos_6	0
9_cell_pos_7	0
9_cell_pos_8	0
9_cell_pos_9	-1
9_cell_pos_10	1
9_cell_pos_11	0
9_cell_pos_12	0
9_cell_pos_13	1
9_cell_pos_14	1
9_cell_pos_15	1
9_cell_pos_16	0
9_cell_pos_17	0
9_cell_pos_18	0
9_cell_pos_19	0
9_cell_pos_20	1
9_cell_pos_21	0
9_cell_pos_22	0
9_cell_pos_23	0
9_cell_pos_24	1
9_cell_pos_25	0
9_cell_pos_26	0
9_cell_pos_27	0
9_cell_pos_28	0
9_cell_pos_29	1
9_cell_pos_30	1
9_cell_pos_31	1
9_cell_pos_32	-1
9_cell_pos_33	0
9_cell_pos_34	-1
9_cell_pos_35	1
9_cell_pos_36	1
9_cell_pos_37	-1
9_cell_pos_38	-1
9_cell_pos_39	1
9_cell_pos_40	0
9_cell_pos_41	-1
9_cell_pos_42	0
9_cell_pos_43	-1
9_cell_pos_44	1
9_cell_pos_45	1
9_cell_pos_46	-1
9_cell_pos_47	0
9_cell_pos_48	-1
9_cell_pos_49	1
9_cell_pos_50	-1
9_cell_pos_51	-1
9_cell_pos_52	1
9_cell_pos_53	-1
9_cell_pos_54	1
9_cell_pos_55	0
9_cell_pos_56	1
9_cell_pos_57	1
9_cell_pos_58	0
9_cell_pos_59	0
9_cell_pos_60	-1
9_cell_pos_61	1
9_cell_pos_62	0
9_cell_pos_63	1
9_cell_pos_64	1
9_cell_pos_65	0
9_cell_pos_66	0
9_cell_pos_67	0
9_cell_pos_68	0
9_cell_pos_69	-1
9_cell_pos_70	0
9_cell_pos_71	0
9_cell_pos_72	0
9_cell_pos_73	1
9_cell_pos_74	0
9_cell_pos_75	0
9_cell_pos_76	1
9_cell_pos_77	1
9_cell_pos_78	1
9_cell_pos_79	0
9_cell_pos_80	0
9_cell_pos_81	-1
9_cell_pos_82	1
9_cell_pos_83	1
9_cell_pos_84	0
9_cell_pos_85	0
9_cell_pos_86	0
9_cell_pos_87	1
9_cell_pos_88	0
9_cell_pos_89	1
9_cell_pos_90	0
9_cell_pos_91	0
9_cell_pos_92	1
9_cell_pos_93	-1
4_kitchen_pos_1	0
4_kitchen_pos_2	0
4_kitchen_pos_3	-1
4_kitchen_pos_4	1
4_kitchen_pos_5	1
4_kitchen_pos_6	0
4_kitchen_pos_7	1
4_kitchen_pos_8	1
4_kitchen_pos_9	0
4_kitchen_pos_10	0
4_kitchen_pos_11	0
4_kitchen_pos_12	0
4_kitchen_pos_13	0
4_kitchen_pos_14	1
4_kitchen_pos_15	0
4_kitchen_pos_16	-1
4_kitchen_pos_17	1
4_kitchen_pos_18	-1
4_kitchen_pos_19	1
4_kitchen_pos_20	0
4_kitchen_pos_21	1
4_kitchen_pos_22	1
4_kitchen_pos_23	0
4_kitchen_pos_24	1
4_kitchen_pos_25	0
4_kitchen_pos_26	1
4_kitchen_pos_27	1
4_kitchen_pos_28	-1
4_kitchen_pos_29	1
4_kitchen_pos_30	1
4_kitchen_pos_31	1
4_kitchen_pos_32	1
4_kitchen_pos_33	1
4_kitchen_pos_34	0
4_kitchen_pos_35	1
4_kitchen_pos_36	0
4_kitchen_pos_37	1
4_kitchen_pos_38	1
4_kitchen_pos_39	1
4_kitchen_pos_40	1
4_kitchen_pos_41	0
4_kitchen_pos_42	1
4_kitchen_pos_43	0
4_kitchen_pos_44	0
4_kitchen_pos_45	-1
4_kitchen_pos_46	1
4_kitchen_pos_47	0
4_kitchen_pos_48	-1
4_kitchen_pos_49	0
4_kitchen_pos_50	0
4_kitchen_pos_51	-1
4_kitchen_pos_52	1
4_kitchen_pos_53	1
4_kitchen_pos_54	1
4_kitchen_pos_55	1
4_kitchen_pos_56	0
4_kitchen_pos_57	1
4_kitchen_pos_58	0
4_kitchen_pos_59	1
4_kitchen_pos_60	0
4_kitchen_pos_61	1
4_kitchen_pos_62	0
4_kitchen_pos_63	0
4_kitchen_pos_64	0
4_kitchen_pos_65	0
4_kitchen_pos_66	0
4_kitchen_pos_67	-1
4_kitchen_pos_68	-1
4_kitchen_pos_69	-1
4_kitchen_pos_70	1
4_kitchen_pos_71	1
4_kitchen_pos_72	-1
4_kitchen_pos_73	1
4_kitchen_pos_74	1
4_kitchen_pos_75	0
4_kitchen_pos_76	-1
4_kitchen_pos_77	0
4_kitchen_pos_78	0
4_kitchen_pos_79	1
4_kitchen_pos_80	0
4_kitchen_pos_81	1
4_kitchen_pos_82	0
4_kitchen_pos_83	1
4_kitchen_pos_84	1
4_kitchen_pos_85	1
4_kitchen_pos_86	1
4_kitchen_pos_87	1
4_kitchen_pos_88	-1
4_kitchen_pos_89	1
9_kitchen_neg_1	1
