PhraseID	Polarity
7_cell_neg_1	0
7_cell_neg_2	1
7_cell_neg_3	0
7_cell_neg_4	1
7_cell_neg_5	1
7_cell_neg_6	-1
7_cell_neg_7	1
7_cell_neg_8	1
7_cell_neg_9	0
7_cell_neg_10	1
7_cell_neg_11	1
7_cell_neg_12	0
7_cell_neg_13	1
7_cell_neg_14	-1
7_cell_neg_15	1
7_cell_neg_16	1
7_cell_neg_17	0
7_cell_neg_18	0
7_cell_neg_19	-1
7_cell_neg_20	1
7_cell_neg_21	1
7_cell_neg_22	0
7_cell_neg_23	0
7_cell_neg_24	0
7_cell_neg_25	0
7_cell_neg_26	1
7_cell_neg_27	0
7_cell_neg_28	0
7_cell_neg_29	-1
7_cell_neg_30	1
7_cell_neg_31	-1
7_cell_neg_32	0
7_cell_neg_33	0
7_cell_neg_34	1
7_cell_neg_35	1
7_cell_neg_36	1
7_cell_neg_37	1
7_cell_neg_38	1
7_cell_neg_39	1
7_cell_neg_40	1
7_cell_neg_41	1
7_cell_neg_42	-1
7_cell_neg_43	0
7_cell_neg_44	1
7_cell_neg_45	-1
7_cell_neg_46	0
7_cell_neg_47	0
7_cell_neg_48	-1
7_cell_neg_49	0
7_cell_neg_50	0
7_cell_neg_51	1
7_cell_neg_52	1
7_cell_neg_53	-1
18_cell_pos_1	0
18_cell_pos_2	1
18_cell_pos_3	1
18_cell_pos_4	1
18_cell_pos_5	-1
18_cell_pos_6	1
18_cell_pos_7	-1
18_cell_pos_8	1
18_cell_pos_9	0
18_cell_pos_10	1
18_cell_pos_11	0
18_cell_pos_12	-1
18_cell_pos_13	-1
18_cell_pos_14	1
18_cell_pos_15	-1
18_cell_pos_16	1
18_cell_pos_17	1
18_cell_pos_18	-1
18_cell_pos_19	0
18_cell_pos_20	-1
18_cell_pos_21	1
18_cell_pos_22	1
18_cell_pos_23	1
18_cell_pos_24	-1
18_cell_pos_25	0
18_cell_pos_26	-1
18_cell_pos_27	0
18_cell_pos_28	-1
18_cell_pos_29	1
18_cell_pos_30	0
18_cell_pos_31	1
18_cell_pos_32	-1
18_cell_pos_33	-1
18_cell_pos_34	1
18_cell_pos_35	1
18_cell_pos_36	0
18_cell_pos_37	-1
18_cell_pos_38	0
18_cell_pos_39	1
18_cell_pos_40	-1
18_cell_pos_41	0
18_cell_pos_42	0
18_cell_pos_43	1
18_cell_pos_44	1
18_cell_pos_45	1
18_cell_pos_46	-1
18_cell_pos_47	0
18_cell_pos_48	1
18_cell_pos_49	0
18_cell_pos_50	1
18_cell_pos_51	0
18_cell_pos_52	0
18_cell_pos_53	1
18_cell_pos_54	-1
18_cell_pos_55	0
18_cell_pos_56	0
18_cell_pos_57	1
18_cell_pos_58	1
18_cell_pos_59	0
18_cell_pos_60	-1
18_cell_pos_61	1
18_cell_pos_62	0
18_cell_pos_63	-1
18_cell_pos_64	-1
18_cell_pos_65	0
18_cell_pos_66	0
18_cell_pos_67	1
13_kitchen_pos_1	1
13_kitchen_pos_2	1
13_kitchen_pos_3	1
13_kitchen_pos_4	1
13_kitchen_pos_5	-1
13_kitchen_pos_6	0
13_kitchen_pos_7	1
13_kitchen_pos_8	0
13_kitchen_pos_9	1
13_kitchen_pos_10	1
13_kitchen_pos_11	1
13_kitchen_pos_12	1
13_kitchen_pos_13	1
13_kitchen_pos_14	1
13_kitchen_pos_15	0
13_kitchen_pos_16	0
13_kitchen_pos_17	1
13_kitchen_pos_18	0
13_kitchen_pos_19	1
13_kitchen_pos_20	1
13_kitchen_pos_21	0
13_kitchen_pos_22	1
13_kitchen_pos_23	1
13_kitchen_pos_24	0
13_kitchen_pos_25	1
13_kitchen_pos_26	0
13_kitchen_pos_27	0
13_kitchen_pos_28	-1
13_kitchen_pos_29	1
13_kitchen_pos_30	1
13_kitchen_pos_31	1
13_kitchen_pos_32	1
13_kitchen_pos_33	1
13_kitchen_pos_34	-1
13_kitchen_pos_35	0
13_kitchen_pos_36	1
13_kitchen_pos_37	0
13_kitchen_pos_38	-1
13_kitchen_pos_39	1
13_kitchen_pos_40	0
13_kitchen_pos_41	0
13_kitchen_pos_42	1
13_kitchen_pos_43	1
13_kitchen_pos_44	0
13_kitchen_pos_45	1
13_kitchen_pos_46	-1
13_kitchen_pos_47	1
13_kitchen_pos_48	1
13_kitchen_pos_49	0
13_kitchen_pos_50	1
13_kitchen_pos_51	1
13_kitchen_pos_52	-1
13_kitchen_pos_53	0
13_kitchen_pos_54	1
13_kitchen_pos_55	0
13_kitchen_pos_56	0
13_kitchen_pos_57	0
13_kitchen_pos_58	0
13_kitchen_pos_59	1
6_kitchen_neg_1	1
6_kitchen_neg_2	0
6_kitchen_neg_3	1
6_kitchen_neg_4	1
6_kitchen_neg_5	1
6_kitchen_neg_6	0
6_kitchen_neg_7	0
6_kitchen_neg_8	-1
6_kitchen_neg_9	0
6_kitchen_neg_10	-1
6_kitchen_neg_11	1
6_kitchen_neg_12	1
6_kitchen_neg_13	0
6_kitchen_neg_14	-1
6_kitchen_neg_15	1
6_kitchen_neg_16	0
6_kitchen_neg_17	1
6_kitchen_neg_18	0
6_kitchen_neg_19	1
6_kitchen_neg_20	1
6_kitchen_neg_21	1
6_kitchen_neg_22	0
6_kitchen_neg_23	0
6_kitchen_neg_24	1
6_kitchen_neg_25	-1
6_kitchen_neg_26	1
6_kitchen_neg_27	1
6_kitchen_neg_28	0
6_kitchen_neg_29	-1
6_kitchen_neg_30	0
6_kitchen_neg_31	1
6_kitchen_neg_32	0
6_kitchen_neg_33	1
6_kitchen_neg_34	-1
6_kitchen_neg_35	-1
6_kitchen_neg_36	-1
6_kitchen_neg_37	-1
6_kitchen_neg_38	-1
6_kitchen_neg_39	0
6_kitchen_neg_40	0
6_kitchen_neg_41	0
6_kitchen_neg_42	0
6_kitchen_neg_43	0
6_kitchen_neg_44	0
6_kitchen_neg_45	0
6_kitchen_neg_46	1
6_kitchen_neg_47	1
6_kitchen_neg_48	1
6_kitchen_neg_49	0
6_kitchen_neg_50	0
6_kitchen_neg_51	0
6_kitchen_neg_52	-1
6_kitchen_neg_53	-1
6_kitchen_neg_54	0
6_kitchen_neg_55	1
6_kitchen_neg_56	1
6_kitchen_neg_57	0
6_kitchen_neg_58	0
6_kitchen_neg_59	0
6_kitchen_neg_60	-1
6_kitchen_neg_61	1
6_kitchen_neg_62	0
6_kitchen_neg_63	-1
