2_cell_neg_1	2_cell_neg_2
2_cell_neg_2	2_cell_neg_3
2_cell_neg_3	2_cell_neg_4
2_cell_neg_6	2_cell_neg_7
2_cell_neg_7	2_cell_neg_8
2_cell_neg_8	2_cell_neg_9
2_cell_neg_9	2_cell_neg_10
2_cell_neg_10	2_cell_neg_11
2_cell_neg_11	2_cell_neg_12
2_cell_neg_12	2_cell_neg_13
2_cell_neg_13	2_cell_neg_14
2_cell_neg_14	2_cell_neg_15
2_cell_neg_15	2_cell_neg_16
2_cell_neg_16	2_cell_neg_17
2_cell_neg_17	2_cell_neg_18
2_cell_neg_18	2_cell_neg_19
2_cell_neg_20	2_cell_neg_21
2_cell_neg_21	2_cell_neg_22
2_cell_neg_22	2_cell_neg_23
2_cell_neg_23	2_cell_neg_24
2_cell_neg_24	2_cell_neg_25
2_cell_neg_25	2_cell_neg_26
2_cell_neg_26	2_cell_neg_27
2_cell_neg_27	2_cell_neg_28
2_cell_neg_28	2_cell_neg_29
2_cell_neg_29	2_cell_neg_30
2_cell_neg_30	2_cell_neg_31
2_cell_neg_31	2_cell_neg_32
2_cell_neg_32	2_cell_neg_33
2_cell_neg_33	2_cell_neg_34
2_cell_neg_34	2_cell_neg_35
2_cell_neg_35	2_cell_neg_36
2_cell_neg_36	2_cell_neg_37
2_cell_neg_37	2_cell_neg_38
2_cell_neg_38	2_cell_neg_39
2_cell_neg_39	2_cell_neg_40
2_cell_neg_40	2_cell_neg_41
2_cell_neg_41	2_cell_neg_42
2_cell_neg_42	2_cell_neg_43
2_cell_neg_43	2_cell_neg_44
2_cell_neg_45	2_cell_neg_46
2_cell_neg_46	2_cell_neg_47
2_cell_neg_47	2_cell_neg_48
2_cell_neg_48	2_cell_neg_49
2_cell_neg_49	2_cell_neg_50
2_cell_neg_50	2_cell_neg_51
2_cell_neg_51	2_cell_neg_52
2_cell_neg_52	2_cell_neg_53
2_cell_neg_53	2_cell_neg_54
2_cell_neg_54	2_cell_neg_55
2_cell_neg_55	2_cell_neg_56
2_cell_neg_56	2_cell_neg_57
2_cell_neg_57	2_cell_neg_58
2_cell_neg_58	2_cell_neg_59
2_cell_neg_59	2_cell_neg_60
2_cell_neg_60	2_cell_neg_61
2_cell_neg_61	2_cell_neg_62
2_cell_neg_62	2_cell_neg_63
2_cell_neg_63	2_cell_neg_64
2_cell_neg_64	2_cell_neg_65
2_cell_neg_65	2_cell_neg_66
2_cell_neg_66	2_cell_neg_67
2_cell_neg_67	2_cell_neg_68
2_cell_neg_68	2_cell_neg_69
2_cell_neg_69	2_cell_neg_70
2_cell_neg_70	2_cell_neg_71
2_cell_neg_71	2_cell_neg_72
2_cell_neg_73	2_cell_neg_74
2_cell_neg_74	2_cell_neg_75
2_cell_neg_75	2_cell_neg_76
2_cell_neg_76	2_cell_neg_77
2_cell_neg_77	2_cell_neg_78
2_cell_neg_78	2_cell_neg_79
2_cell_neg_79	2_cell_neg_80
2_cell_neg_80	2_cell_neg_81
2_cell_neg_81	2_cell_neg_82
2_cell_neg_82	2_cell_neg_83
2_cell_neg_83	2_cell_neg_84
2_cell_neg_84	2_cell_neg_85
2_cell_neg_85	2_cell_neg_86
2_cell_neg_88	2_cell_neg_89
2_cell_neg_90	2_cell_neg_91
2_cell_neg_91	2_cell_neg_92
2_cell_neg_92	2_cell_neg_93
2_cell_neg_93	2_cell_neg_94
2_cell_neg_94	2_cell_neg_95
2_cell_neg_95	2_cell_neg_96
2_cell_neg_96	2_cell_neg_97
