6_cell_neg_11	6_cell_neg_12
14_cell_pos_3	14_cell_pos_4
14_cell_pos_45	14_cell_pos_46
14_cell_pos_64	14_cell_pos_65
6_kitchen_pos_3	6_kitchen_pos_4
6_kitchen_pos_18	6_kitchen_pos_19
6_kitchen_pos_58	6_kitchen_pos_59
13_gourmet_pos_17	13_gourmet_pos_18
13_gourmet_pos_20	13_gourmet_pos_21
13_gourmet_pos_21	13_gourmet_pos_22
13_gourmet_pos_34	13_gourmet_pos_35
13_gourmet_pos_37	13_gourmet_pos_38
13_gourmet_pos_43	13_gourmet_pos_44
10_cell_neg_15	10_cell_neg_16
10_cell_neg_21	10_cell_neg_22
10_cell_neg_27	10_cell_neg_28
2_cell_pos_57	2_cell_pos_58
2_cell_pos_61	2_cell_pos_62
2_cell_pos_77	2_cell_pos_78
2_cell_pos_99	2_cell_pos_100
2_cell_pos_102	2_cell_pos_103
2_cell_pos_126	2_cell_pos_127
20_kitchen_pos_41	20_kitchen_pos_42
20_kitchen_neg_12	20_kitchen_neg_13
20_kitchen_neg_30	20_kitchen_neg_31
14_gourmet_pos_9	14_gourmet_pos_10
14_gourmet_pos_29	14_gourmet_pos_30
13_gourmet_neg_5	13_gourmet_neg_6
