PhraseID	Polarity
5_cell_neg_1	1
5_cell_neg_2	1
5_cell_neg_3	0
5_cell_neg_4	0
5_cell_neg_5	1
5_cell_neg_6	-1
5_cell_neg_7	1
5_cell_neg_8	0
5_cell_neg_9	1
5_cell_neg_10	-1
5_cell_neg_11	1
5_cell_neg_12	-1
5_cell_neg_13	1
5_cell_neg_14	1
5_cell_neg_15	1
5_cell_neg_16	-1
5_cell_neg_17	1
5_cell_neg_18	0
5_cell_neg_19	1
5_cell_neg_20	1
5_cell_neg_21	0
5_cell_neg_22	0
5_cell_neg_23	1
5_cell_neg_24	1
5_cell_neg_25	1
5_cell_neg_26	0
5_cell_neg_27	0
5_cell_neg_28	0
5_cell_neg_29	0
5_cell_neg_30	1
5_cell_neg_31	1
5_cell_neg_32	1
5_cell_neg_33	0
5_cell_neg_34	1
5_cell_neg_35	1
5_cell_neg_36	1
5_cell_neg_37	0
5_cell_neg_38	0
5_cell_neg_39	0
5_cell_neg_40	1
5_cell_neg_41	0
5_cell_neg_42	1
5_cell_neg_43	-1
5_cell_neg_44	-1
5_cell_neg_45	1
5_cell_neg_46	1
5_cell_neg_47	-1
5_cell_neg_48	-1
5_cell_neg_49	-1
5_cell_neg_50	-1
5_cell_neg_51	0
5_cell_neg_52	-1
5_cell_neg_53	-1
5_cell_neg_54	1
5_cell_neg_55	1
5_cell_neg_56	-1
5_cell_neg_57	1
5_cell_neg_58	1
5_cell_neg_59	1
5_cell_neg_60	1
5_cell_neg_61	1
5_cell_neg_62	0
5_cell_neg_63	0
5_cell_neg_64	1
5_cell_neg_65	0
5_cell_neg_66	0
5_cell_neg_67	0
5_cell_neg_68	0
5_cell_neg_69	1
5_cell_neg_70	-1
5_cell_neg_71	1
5_cell_neg_72	0
5_cell_neg_73	1
5_cell_neg_74	0
5_cell_neg_75	-1
7_cell_pos_1	1
7_cell_pos_2	1
7_cell_pos_3	1
7_cell_pos_4	1
7_cell_pos_5	-1
7_cell_pos_6	-1
7_cell_pos_7	1
7_cell_pos_8	1
7_cell_pos_9	0
7_cell_pos_10	0
7_cell_pos_11	-1
7_cell_pos_12	1
7_cell_pos_13	1
7_cell_pos_14	1
7_cell_pos_15	0
7_cell_pos_16	1
7_cell_pos_17	1
7_cell_pos_18	1
7_cell_pos_19	0
7_cell_pos_20	-1
7_cell_pos_21	-1
7_cell_pos_22	1
7_cell_pos_23	1
7_cell_pos_24	0
7_cell_pos_25	1
7_cell_pos_26	1
7_cell_pos_27	0
7_cell_pos_28	0
7_cell_pos_29	1
7_cell_pos_30	0
7_cell_pos_31	1
7_cell_pos_32	0
7_cell_pos_33	0
7_cell_pos_34	1
7_cell_pos_35	0
7_cell_pos_36	1
7_cell_pos_37	1
7_cell_pos_38	0
7_cell_pos_39	-1
7_cell_pos_40	1
7_cell_pos_41	0
7_cell_pos_42	1
7_cell_pos_43	1
7_cell_pos_44	0
7_cell_pos_45	0
7_cell_pos_46	0
7_cell_pos_47	-1
7_cell_pos_48	1
7_cell_pos_49	1
7_cell_pos_50	-1
7_cell_pos_51	0
7_cell_pos_52	0
