17_cell_neg_1	17_cell_neg_2
17_cell_neg_2	17_cell_neg_3
17_cell_neg_3	17_cell_neg_4
17_cell_neg_4	17_cell_neg_5
17_cell_neg_5	17_cell_neg_6
17_cell_neg_6	17_cell_neg_7
17_cell_neg_7	17_cell_neg_8
17_cell_neg_8	17_cell_neg_9
17_cell_neg_9	17_cell_neg_10
17_cell_neg_10	17_cell_neg_11
17_cell_neg_11	17_cell_neg_12
17_cell_neg_12	17_cell_neg_13
17_cell_neg_13	17_cell_neg_14
17_cell_neg_14	17_cell_neg_15
17_cell_neg_15	17_cell_neg_16
17_cell_neg_16	17_cell_neg_17
17_cell_neg_17	17_cell_neg_18
17_cell_neg_18	17_cell_neg_19
17_cell_neg_19	17_cell_neg_20
17_cell_neg_20	17_cell_neg_21
17_cell_neg_21	17_cell_neg_22
17_cell_neg_22	17_cell_neg_23
17_cell_neg_23	17_cell_neg_24
17_cell_neg_24	17_cell_neg_25
17_cell_neg_25	17_cell_neg_26
17_cell_neg_26	17_cell_neg_27
17_cell_neg_27	17_cell_neg_28
17_cell_neg_28	17_cell_neg_29
17_cell_neg_29	17_cell_neg_30
17_cell_neg_30	17_cell_neg_31
17_cell_neg_31	17_cell_neg_32
17_cell_neg_32	17_cell_neg_33
17_cell_neg_33	17_cell_neg_34
17_cell_neg_34	17_cell_neg_35
17_cell_neg_35	17_cell_neg_36
17_cell_neg_36	17_cell_neg_37
17_cell_neg_37	17_cell_neg_38
17_cell_neg_38	17_cell_neg_39
17_cell_neg_39	17_cell_neg_40
17_cell_neg_41	17_cell_neg_42
17_cell_neg_42	17_cell_neg_43
17_cell_neg_43	17_cell_neg_44
17_cell_neg_44	17_cell_neg_45
17_cell_neg_45	17_cell_neg_46
17_cell_neg_46	17_cell_neg_47
17_cell_neg_47	17_cell_neg_48
17_cell_neg_48	17_cell_neg_49
3_cell_neg_1	3_cell_neg_2
3_cell_neg_2	3_cell_neg_3
3_cell_neg_3	3_cell_neg_4
3_cell_neg_4	3_cell_neg_5
3_cell_neg_5	3_cell_neg_6
3_cell_neg_6	3_cell_neg_7
3_cell_neg_7	3_cell_neg_8
3_cell_neg_8	3_cell_neg_9
3_cell_neg_9	3_cell_neg_10
3_cell_neg_10	3_cell_neg_11
3_cell_neg_12	3_cell_neg_13
3_cell_neg_13	3_cell_neg_14
3_cell_neg_14	3_cell_neg_15
3_cell_neg_15	3_cell_neg_16
3_cell_neg_16	3_cell_neg_17
3_cell_neg_17	3_cell_neg_18
3_cell_neg_20	3_cell_neg_21
3_cell_neg_21	3_cell_neg_22
3_cell_neg_22	3_cell_neg_23
3_cell_neg_23	3_cell_neg_24
3_cell_neg_24	3_cell_neg_25
3_cell_neg_25	3_cell_neg_26
3_cell_neg_26	3_cell_neg_27
3_cell_neg_27	3_cell_neg_28
3_cell_neg_28	3_cell_neg_29
3_cell_neg_29	3_cell_neg_30
3_cell_neg_30	3_cell_neg_31
3_cell_neg_32	3_cell_neg_33
3_cell_neg_33	3_cell_neg_34
3_cell_neg_34	3_cell_neg_35
3_cell_neg_35	3_cell_neg_36
3_cell_neg_36	3_cell_neg_37
3_cell_neg_37	3_cell_neg_38
3_cell_neg_38	3_cell_neg_39
3_cell_neg_39	3_cell_neg_40
3_cell_neg_40	3_cell_neg_41
3_cell_neg_41	3_cell_neg_42
3_cell_neg_42	3_cell_neg_43
3_cell_neg_43	3_cell_neg_44
3_cell_neg_44	3_cell_neg_45
3_cell_neg_45	3_cell_neg_46
3_cell_neg_46	3_cell_neg_47
3_cell_neg_47	3_cell_neg_48
3_cell_neg_48	3_cell_neg_49
3_cell_neg_49	3_cell_neg_50
3_cell_neg_50	3_cell_neg_51
3_cell_neg_51	3_cell_neg_52
3_cell_neg_52	3_cell_neg_53
3_cell_neg_53	3_cell_neg_54
3_cell_neg_54	3_cell_neg_55
3_cell_neg_55	3_cell_neg_56
3_cell_neg_56	3_cell_neg_57
3_cell_neg_57	3_cell_neg_58
3_cell_neg_58	3_cell_neg_59
3_cell_neg_59	3_cell_neg_60
3_cell_neg_60	3_cell_neg_61
3_cell_neg_61	3_cell_neg_62
3_cell_neg_62	3_cell_neg_63
3_cell_neg_63	3_cell_neg_64
3_cell_neg_64	3_cell_neg_65
3_cell_neg_65	3_cell_neg_66
3_cell_neg_66	3_cell_neg_67
3_cell_neg_67	3_cell_neg_68
3_cell_neg_68	3_cell_neg_69
3_cell_neg_69	3_cell_neg_70
3_cell_neg_70	3_cell_neg_71
3_cell_neg_71	3_cell_neg_72
3_cell_neg_72	3_cell_neg_73
3_cell_neg_74	3_cell_neg_75
3_cell_neg_75	3_cell_neg_76
3_cell_neg_76	3_cell_neg_77
3_cell_neg_77	3_cell_neg_78
3_cell_neg_78	3_cell_neg_79
3_cell_neg_79	3_cell_neg_80
3_cell_neg_81	3_cell_neg_82
3_cell_neg_82	3_cell_neg_83
3_cell_neg_83	3_cell_neg_84
3_cell_neg_84	3_cell_neg_85
3_cell_neg_85	3_cell_neg_86
3_cell_neg_86	3_cell_neg_87
3_cell_neg_87	3_cell_neg_88
3_cell_neg_88	3_cell_neg_89
3_cell_neg_89	3_cell_neg_90
3_cell_neg_90	3_cell_neg_91
3_cell_neg_91	3_cell_neg_92
3_cell_neg_92	3_cell_neg_93
3_cell_neg_93	3_cell_neg_94
3_cell_neg_94	3_cell_neg_95
10_cell_pos_1	10_cell_pos_2
10_cell_pos_2	10_cell_pos_3
10_cell_pos_3	10_cell_pos_4
10_cell_pos_4	10_cell_pos_5
10_cell_pos_5	10_cell_pos_6
10_cell_pos_6	10_cell_pos_7
10_cell_pos_7	10_cell_pos_8
10_cell_pos_8	10_cell_pos_9
10_cell_pos_9	10_cell_pos_10
10_cell_pos_10	10_cell_pos_11
10_cell_pos_11	10_cell_pos_12
10_cell_pos_12	10_cell_pos_13
10_cell_pos_13	10_cell_pos_14
10_cell_pos_14	10_cell_pos_15
10_cell_pos_15	10_cell_pos_16
10_cell_pos_16	10_cell_pos_17
10_cell_pos_17	10_cell_pos_18
10_cell_pos_18	10_cell_pos_19
10_cell_pos_19	10_cell_pos_20
10_cell_pos_20	10_cell_pos_21
10_cell_pos_21	10_cell_pos_22
10_cell_pos_22	10_cell_pos_23
10_cell_pos_23	10_cell_pos_24
10_cell_pos_24	10_cell_pos_25
10_cell_pos_25	10_cell_pos_26
10_cell_pos_26	10_cell_pos_27
10_cell_pos_27	10_cell_pos_28
10_cell_pos_28	10_cell_pos_29
10_cell_pos_29	10_cell_pos_30
10_cell_pos_30	10_cell_pos_31
10_cell_pos_32	10_cell_pos_33
10_cell_pos_33	10_cell_pos_34
10_cell_pos_34	10_cell_pos_35
10_cell_pos_35	10_cell_pos_36
10_cell_pos_36	10_cell_pos_37
10_cell_pos_38	10_cell_pos_39
10_cell_pos_39	10_cell_pos_40
10_cell_pos_40	10_cell_pos_41
10_cell_pos_41	10_cell_pos_42
10_cell_pos_42	10_cell_pos_43
10_cell_pos_43	10_cell_pos_44
10_cell_pos_44	10_cell_pos_45
10_cell_pos_45	10_cell_pos_46
10_cell_pos_46	10_cell_pos_47
