PhraseIDs	Polarity
15_cell_neg_1	positive
15_cell_neg_2	negative
15_cell_neg_3	negative
15_cell_neg_4	negative
15_cell_neg_5	negative
15_cell_neg_6	negative
15_cell_neg_7	positive
15_cell_neg_8	positive
15_cell_neg_9	positive
15_cell_neg_10	negative
15_cell_neg_11	positive
15_cell_neg_12	negative
15_cell_neg_13	negative
15_cell_neg_14	negative
15_cell_neg_15	negative
15_cell_neg_16	negative
15_cell_neg_17	negative
15_cell_neg_18	negative
15_cell_neg_19	negative
15_cell_neg_20	negative
15_cell_neg_21	negative
15_cell_neg_22	negative
15_cell_neg_23	negative
15_cell_neg_24	negative
15_cell_neg_25	negative
15_cell_neg_26	negative
15_cell_neg_27	negative
15_cell_neg_28	negative
15_cell_neg_29	negative
15_cell_neg_30	negative
15_cell_neg_31	negative
15_cell_neg_32	negative
15_cell_neg_33	negative
15_cell_neg_34	positive
15_cell_neg_35	positive
15_cell_neg_36	negative
15_cell_neg_37	negative
15_cell_neg_38	negative
15_cell_neg_39	negative
15_cell_neg_40	positive
15_cell_neg_41	positive
7_cell_neg_1	positive
7_cell_neg_2	positive
7_cell_neg_3	positive
7_cell_neg_4	positive
7_cell_neg_5	negative
7_cell_neg_6	positive
7_cell_neg_7	positive
7_cell_neg_8	positive
7_cell_neg_9	positive
7_cell_neg_10	positive
7_cell_neg_11	negative
7_cell_neg_12	negative
7_cell_neg_13	negative
7_cell_neg_14	negative
7_cell_neg_15	negative
7_cell_neg_16	positive
7_cell_neg_17	positive
7_cell_neg_18	negative
7_cell_neg_19	negative
7_cell_neg_20	negative
7_cell_neg_21	negative
7_cell_neg_22	negative
7_cell_neg_23	negative
7_cell_neg_24	negative
7_cell_neg_25	negative
7_cell_neg_26	negative
7_cell_neg_27	negative
7_cell_neg_28	negative
7_cell_neg_29	negative
7_cell_neg_30	negative
7_cell_neg_31	negative
7_cell_neg_32	negative
7_cell_neg_33	negative
7_cell_neg_34	negative
7_cell_neg_35	negative
7_cell_neg_36	negative
7_cell_neg_37	negative
7_cell_neg_38	negative
7_cell_neg_39	negative
7_cell_neg_40	negative
7_cell_neg_41	negative
7_cell_neg_42	negative
7_cell_neg_43	negative
7_cell_neg_44	negative
7_cell_neg_45	negative
7_cell_neg_46	negative
7_cell_neg_47	negative
7_cell_neg_48	negative
7_cell_neg_49	positive
7_cell_neg_50	positive
7_cell_neg_51	negative
7_cell_neg_52	negative
7_cell_neg_53	negative
18_cell_pos_1	positive
18_cell_pos_2	positive
18_cell_pos_3	positive
18_cell_pos_4	positive
18_cell_pos_5	positive
18_cell_pos_6	positive
18_cell_pos_7	positive
